Sonoco Products Price to Free Cash Flow Ratio Historical Data,Sonoco Products Price to Free Cash Flow Ratio Historical Data,Sonoco Products Price to Free Cash Flow Ratio Historical Data,Sonoco Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,47.83,,10.41
2024-12-31,48.85,$4.60,10.63
2024-09-30,54.07,$3.39,15.93
2024-06-30,49.68,$4.42,11.24
2024-03-31,56.15,$6.00,9.35
2023-12-31,53.76,$6.07,8.86
2023-09-30,51.8,$5.39,9.6
2023-06-30,55.75,$4.13,13.49
2023-03-31,57.13,$3.47,16.47
2022-12-31,56.37,$1.92,29.31
2022-09-30,52.23,$0.74,70.52
2022-06-30,52.1,$0.88,59.55
2022-03-31,56.68,$-1.09,0.0
2021-12-31,52.05,$0.56,92.88
2021-09-30,53.17,$2.16,24.59
2021-06-30,59.28,$3.20,18.55
2021-03-31,55.73,$5.60,9.96
2020-12-31,51.78,$5.18,9.99
2020-09-30,44.28,$5.25,8.44
2020-06-30,44.97,$5.10,8.82
2020-03-31,39.51,$2.48,15.93
2019-12-31,52.18,$2.42,21.59
2019-09-30,48.84,$1.75,27.93
2019-06-30,54.43,$1.91,28.57
2019-03-31,50.91,$3.84,13.24
2018-12-31,43.65,$4.17,10.46
2018-09-30,45.27,$3.60,12.57
2018-06-30,42.51,$3.24,13.13
2018-03-31,38.97,$2.28,17.09
2017-12-31,42.35,$1.63,25.95
2017-09-30,39.9,$4.13,9.66
2017-06-30,40.35,$4.01,10.07
2017-03-31,41.21,$4.89,8.43
2016-12-31,40.76,$4.84,8.43
2016-09-30,40.56,$2.93,13.87
2016-06-30,37.86,$2.61,14.51
2016-03-31,36.73,$2.50,14.68
2015-12-31,30.66,$2.86,10.71
2015-09-30,28.07,$3.10,9.05
2015-06-30,31.62,$3.33,9.49
2015-03-31,33.28,$2.80,11.87
2014-12-31,31.77,$2.41,13.19
2014-09-30,28.34,$2.22,12.76
2014-06-30,31.44,$2.38,13.23
2014-03-31,29.13,$2.95,9.87
2013-12-31,29.41,$3.64,8.07
2013-09-30,27.24,$3.42,7.98
2013-06-30,23.99,$3.23,7.42
2013-03-31,24.07,$2.41,9.97
2012-12-31,20.26,$2.15,9.4
2012-09-30,20.9,$2.14,9.78
2012-06-30,20.14,$1.59,12.68
2012-03-31,21.97,$1.74,12.62
2011-12-31,21.61,$0.70,30.71
2011-09-30,18.34,$0.76,24.27
2011-06-30,22.87,$1.21,18.84
2011-03-31,23.12,$1.28,18.01
2010-12-31,21.32,$2.24,9.54
2010-09-30,20.99,$1.67,12.56
2010-06-30,18.97,$2.15,8.81
2010-03-31,19.0,$2.88,6.6
2009-12-31,17.88,$2.84,6.3
