Weis Markets Price to Free Cash Flow Ratio Historical Data,Weis Markets Price to Free Cash Flow Ratio Historical Data,Weis Markets Price to Free Cash Flow Ratio Historical Data,Weis Markets Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,78.52,,64.74
2024-12-31,67.72,$1.21,55.83
2024-09-30,68.61,$4.81,14.27
2024-06-30,62.2,$2.86,21.76
2024-03-31,63.48,$3.98,15.96
2023-12-31,62.7,$3.66,17.13
2023-09-30,61.45,$0.17,353.57
2023-06-30,62.3,$3.60,17.33
2023-03-31,81.8,$2.87,28.55
2022-12-31,79.18,$3.81,20.77
2022-09-30,68.28,$2.89,23.63
2022-06-30,71.15,$3.36,21.18
2022-03-31,67.91,$4.45,15.27
2021-12-31,62.31,$3.04,20.48
2021-09-30,49.45,$3.95,12.51
2021-06-30,48.33,$3.19,15.17
2021-03-31,52.57,$0.94,55.86
2020-12-31,44.22,$5.48,8.07
2020-09-30,44.1,$4.28,10.29
2020-06-30,45.77,$4.81,9.51
2020-03-31,37.83,$6.18,6.12
2019-12-31,36.47,$2.77,13.17
2019-09-30,34.09,$2.89,11.79
2019-06-30,32.27,$1.96,16.47
2019-03-31,36.17,$1.33,27.3
2018-12-31,42.1,$2.09,20.12
2018-09-30,38.0,$3.03,12.54
2018-06-30,46.43,$2.93,15.87
2018-03-31,35.44,$3.81,9.29
2017-12-31,35.52,$2.44,14.58
2017-09-30,37.05,$0.91,40.7
2017-06-30,41.24,$0.46,89.59
2017-03-31,50.23,$-0.33,0.0
2016-12-31,56.01,$0.27,204.32
2016-09-30,44.17,$1.01,43.93
2016-06-30,41.89,$1.57,26.67
2016-03-31,37.1,$1.72,21.56
2015-12-31,36.19,$1.80,20.09
2015-09-30,33.87,$1.77,19.14
2015-06-30,33.95,$1.92,17.67
2015-03-31,39.81,$1.47,27.03
2014-12-31,38.02,$1.77,21.51
2014-09-30,30.82,$1.21,25.44
2014-06-30,35.86,$0.62,58.01
2014-03-31,38.37,$1.15,33.37
2013-12-31,40.69,$0.71,57.52
2013-09-30,37.67,$0.73,51.65
2013-06-30,34.48,$0.64,54.22
2013-03-31,30.92,$0.49,63.0
2012-12-31,29.54,$0.62,47.49
2012-09-30,31.69,$1.15,27.64
2012-06-30,33.1,$1.94,17.09
2012-03-31,32.2,$1.64,19.66
2011-12-31,29.29,$1.64,17.91
2011-09-30,25.65,$1.19,21.47
2011-06-30,27.99,$1.45,19.27
2011-03-31,27.61,$2.21,12.49
2010-12-31,27.32,$2.93,9.31
2010-09-30,26.31,$2.69,9.79
2010-06-30,21.95,$2.97,7.4
2010-03-31,24.06,$2.12,11.32
2009-12-31,23.85,$2.77,8.6
