MarineMax Price to Free Cash Flow Ratio Historical Data,MarineMax Price to Free Cash Flow Ratio Historical Data,MarineMax Price to Free Cash Flow Ratio Historical Data,MarineMax Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.45,,0.0
2024-12-31,28.95,$-6.02,0.0
2024-09-30,35.27,$-3.72,0.0
2024-06-30,32.37,$-4.72,0.0
2024-03-31,33.26,$-6.39,0.0
2023-12-31,38.9,$-9.69,0.0
2023-09-30,32.82,$-12.70,0.0
2023-06-30,34.16,$-13.73,0.0
2023-03-31,28.75,$-14.09,0.0
2022-12-31,31.22,$-5.97,0.0
2022-09-30,29.79,$0.84,35.41
2022-06-30,36.12,$5.33,6.78
2022-03-31,40.26,$11.92,3.38
2021-12-31,59.04,$15.40,3.83
2021-09-30,48.52,$15.23,3.19
2021-06-30,48.74,$17.04,2.86
2021-03-31,49.36,$20.18,2.45
2020-12-31,35.03,$13.52,2.59
2020-09-30,25.67,$13.30,1.93
2020-06-30,22.39,$8.88,2.52
2020-03-31,10.42,$0.73,14.32
2019-12-31,16.69,$0.58,28.75
2019-09-30,15.48,$-1.25,0.0
2019-06-30,16.44,$0.32,51.63
2019-03-31,19.16,$0.63,30.48
2018-12-31,18.31,$2.15,8.53
2018-09-30,21.25,$2.47,8.62
2018-06-30,18.95,$2.13,8.9
2018-03-31,19.45,$0.50,39.16
2017-12-31,18.9,$-1.06,0.0
2017-09-30,16.55,$-0.35,0.0
2017-06-30,19.55,$-0.91,0.0
2017-03-31,21.65,$0.76,28.6
2016-12-31,19.35,$0.85,22.8
2016-09-30,20.95,$0.41,51.09
2016-06-30,16.97,$0.41,41.05
2016-03-31,19.47,$-1.22,0.0
2015-12-31,18.42,$-0.60,0.0
2015-09-30,14.13,$-0.03,0.0
2015-06-30,23.51,$0.12,199.24
2015-03-31,26.51,$0.42,62.7
2014-12-31,20.05,$-1.07,0.0
2014-09-30,16.85,$0.13,128.72
2014-06-30,16.74,$0.47,35.88
2014-03-31,15.19,$-0.98,0.0
2013-12-31,16.08,$-0.08,0.0
2013-09-30,12.2,$-0.08,0.0
2013-06-30,11.33,$-0.94,0.0
2013-03-31,13.59,$-0.65,0.0
2012-12-31,8.94,$0.45,19.84
2012-09-30,8.29,$0.23,35.66
2012-06-30,9.51,$-0.13,0.0
2012-03-31,8.23,$-1.07,0.0
2011-12-31,6.52,$-1.69,0.0
2011-09-30,6.47,$-0.94,0.0
2011-06-30,8.76,$-1.91,0.0
2011-03-31,9.86,$-1.46,0.0
2010-12-31,9.35,$0.45,20.62
2010-09-30,7.04,$1.69,4.16
2010-06-30,6.94,$8.93,0.78
2010-03-31,10.76,$11.29,0.95
2009-12-31,9.19,$12.32,0.75
