First Horizon Price to Free Cash Flow Ratio Historical Data,First Horizon Price to Free Cash Flow Ratio Historical Data,First Horizon Price to Free Cash Flow Ratio Historical Data,First Horizon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.22,,8.49
2024-12-31,20.14,$2.26,8.9
2024-09-30,15.42,$2.59,5.95
2024-06-30,15.51,$3.07,5.05
2024-03-31,14.99,$3.86,3.88
2023-12-31,13.64,$2.25,6.07
2023-09-30,10.5,$1.65,6.36
2023-06-30,10.6,$1.77,6.0
2023-03-31,16.52,$2.65,6.24
2022-12-31,22.55,$4.03,5.59
2022-09-30,20.94,$4.31,4.86
2022-06-30,19.87,$2.17,9.16
2022-03-31,21.2,$0.65,32.53
2021-12-31,14.65,$1.30,11.31
2021-09-30,14.48,$1.82,7.94
2021-06-30,15.21,$3.74,4.06
2021-03-31,14.76,$6.67,2.21
2020-12-31,11.04,$0.29,38.01
2020-09-30,8.07,$-0.24,0.0
2020-06-30,8.38,$-0.22,0.0
2020-03-31,6.68,$-2.33,0.0
2019-12-31,13.5,$2.54,5.32
2019-09-30,13.09,$3.33,3.93
2019-06-30,11.96,$1.67,7.17
2019-03-31,11.1,$1.70,6.53
2018-12-31,10.35,$0.66,15.68
2018-09-30,13.45,$0.68,19.69
2018-06-30,13.82,$1.72,8.02
2018-03-31,14.49,$-0.65,0.0
2017-12-31,15.29,$-0.32,0.0
2017-09-30,14.58,$0.37,39.56
2017-06-30,13.19,$-1.21,0.0
2017-03-31,13.93,$0.72,19.27
2016-12-31,15.0,$0.55,27.4
2016-09-30,11.38,$-0.67,0.0
2016-06-30,10.25,$0.78,13.18
2016-03-31,9.69,$1.68,5.76
2015-12-31,10.69,$1.56,6.85
2015-09-30,10.39,$1.42,7.31
2015-06-30,11.44,$1.86,6.16
2015-03-31,10.39,$0.79,13.1
2014-12-31,9.83,$2.86,3.44
2014-09-30,8.86,$3.69,2.4
2014-06-30,8.52,$2.97,2.87
2014-03-31,8.83,$2.92,3.02
2013-12-31,8.3,$1.69,4.92
2013-09-30,7.79,$1.42,5.49
2013-06-30,7.91,$3.04,2.6
2013-03-31,7.51,$2.27,3.3
2012-12-31,6.93,$1.44,4.82
2012-09-30,6.73,$0.71,9.52
2012-06-30,6.04,$-0.04,0.0
2012-03-31,7.24,$0.26,27.73
2011-12-31,5.57,$0.03,170.99
2011-09-30,4.15,$2.36,1.76
2011-06-30,6.63,$4.04,1.64
2011-03-31,7.78,$2.74,2.84
2010-12-31,8.17,$3.08,2.65
2010-09-30,7.21,$0.97,7.41
2010-06-30,6.61,$-0.36,0.0
2010-03-31,7.46,$2.90,2.57
2009-12-31,6.61,$3.26,2.03
