Ryder System Price to Free Cash Flow Ratio Historical Data,Ryder System Price to Free Cash Flow Ratio Historical Data,Ryder System Price to Free Cash Flow Ratio Historical Data,Ryder System Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,140.46,,46.72
2024-12-31,156.86,$3.01,52.17
2024-09-30,145.07,$3.11,46.58
2024-06-30,122.54,$0.08,1509.12
2024-03-31,118.22,$-3.00,0.0
2023-12-31,112.43,$-1.16,0.0
2023-09-30,103.82,$2.11,49.25
2023-06-30,81.71,$7.63,10.71
2023-03-31,85.34,$18.03,4.73
2022-12-31,79.41,$17.96,4.42
2022-09-30,71.25,$20.80,3.42
2022-06-30,66.56,$19.19,3.47
2022-03-31,73.76,$17.28,4.27
2021-12-31,76.09,$19.74,3.86
2021-09-30,75.82,$22.69,3.34
2021-06-30,67.61,$29.84,2.27
2021-03-31,68.34,$32.71,2.09
2020-12-31,55.32,$30.31,1.83
2020-09-30,37.46,$20.97,1.79
2020-06-30,32.8,$8.43,3.89
2020-03-31,22.69,$-10.13,0.0
2019-12-31,45.97,$-20.57,0.0
2019-09-30,43.36,$-24.21,0.0
2019-06-30,48.26,$-28.34,0.0
2019-03-31,50.84,$-21.63,0.0
2018-12-31,39.16,$-17.76,0.0
2018-09-30,58.85,$-11.22,0.0
2018-06-30,57.48,$-4.58,0.0
2018-03-31,57.77,$-1.98,0.0
2017-12-31,66.35,$3.71,17.88
2017-09-30,66.26,$4.91,13.49
2017-06-30,56.05,$5.72,9.79
2017-03-31,58.34,$5.06,11.53
2016-12-31,57.24,$2.20,26.07
2016-09-30,50.43,$-1.74,0.0
2016-06-30,46.44,$-8.36,0.0
2016-03-31,48.9,$-13.37,0.0
2015-12-31,42.6,$-15.00,0.0
2015-09-30,55.16,$-13.30,0.0
2015-06-30,64.78,$-7.56,0.0
2015-03-31,70.08,$-6.38,0.0
2014-12-31,68.3,$-7.15,0.0
2014-09-30,65.92,$-9.76,0.0
2014-06-30,64.27,$-13.25,0.0
2014-03-31,58.07,$-10.93,0.0
2013-12-31,53.35,$-8.04,0.0
2013-09-30,42.95,$-4.51,0.0
2013-06-30,43.48,$-4.04,0.0
2013-03-31,42.52,$-6.37,0.0
2012-12-31,35.35,$-8.99,0.0
2012-09-30,27.46,$-12.78,0.0
2012-06-30,25.13,$-10.25,0.0
2012-03-31,36.59,$-9.53,0.0
2011-12-31,36.63,$-6.27,0.0
2011-09-30,25.71,$-1.46,0.0
2011-06-30,38.7,$-1.97,0.0
2011-03-31,34.28,$0.95,36.11
2010-12-31,35.46,$3.71,9.55
2010-09-30,28.64,$4.59,6.24
2010-06-30,26.75,$7.70,3.47
2010-03-31,25.63,$11.12,2.31
2009-12-31,27.03,$9.96,2.71
