Biote Price to Free Cash Flow Ratio Historical Data,Biote Price to Free Cash Flow Ratio Historical Data,Biote Price to Free Cash Flow Ratio Historical Data,Biote Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.2,,3.76
2024-12-31,6.18,$1.12,5.53
2024-09-30,5.58,$1.19,4.69
2024-06-30,7.47,$0.45,16.59
2024-03-31,5.8,$0.41,14.31
2023-12-31,4.94,$0.94,5.25
2023-09-30,5.12,$1.42,3.6
2023-06-30,6.76,$2.53,2.67
2023-03-31,6.19,$-0.65,0.0
2022-12-31,3.73,$-1.36,0.0
2022-09-30,4.28,$-2.20,0.0
2022-06-30,3.77,$-3.00,0.0
2022-03-31,9.88,0,0.0
