Outbrain Price to Free Cash Flow Ratio Historical Data,Outbrain Price to Free Cash Flow Ratio Historical Data,Outbrain Price to Free Cash Flow Ratio Historical Data,Outbrain Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.95,,4.06
2024-12-31,7.18,$0.97,7.38
2024-09-30,4.86,$0.68,7.2
2024-06-30,4.98,$0.50,9.88
2024-03-31,3.95,$0.51,7.79
2023-12-31,4.38,$-0.11,0.0
2023-09-30,4.87,$-0.33,0.0
2023-06-30,4.92,$-0.61,0.0
2023-03-31,4.13,$-0.77,0.0
2022-12-31,3.62,$-0.40,0.0
2022-09-30,3.65,$-0.97,0.0
2022-06-30,5.03,$0.37,13.53
