Mersana Therapeutics Price to Free Cash Flow Ratio Historical Data,Mersana Therapeutics Price to Free Cash Flow Ratio Historical Data,Mersana Therapeutics Price to Free Cash Flow Ratio Historical Data,Mersana Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.44,,0.0
2024-12-31,1.43,$-0.67,0.0
2024-09-30,1.89,$-0.84,0.0
2024-06-30,2.01,$-1.12,0.0
2024-03-31,4.48,$-1.46,0.0
2023-12-31,2.32,$-1.47,0.0
2023-09-30,1.27,$-1.71,0.0
2023-06-30,3.29,$-0.79,0.0
2023-03-31,4.11,$-0.73,0.0
2022-12-31,5.86,$-0.55,0.0
2022-09-30,6.76,$-0.62,0.0
2022-06-30,4.62,$-1.66,0.0
2022-03-31,3.99,$-1.70,0.0
2021-12-31,6.22,$-1.99,0.0
2021-09-30,9.43,$-1.75,0.0
2021-06-30,13.58,$-1.50,0.0
2021-03-31,16.18,$-1.17,0.0
2020-12-31,26.61,$-1.22,0.0
2020-09-30,18.62,$-1.25,0.0
2020-06-30,23.4,$-1.36,0.0
2020-03-31,5.83,$-1.22,0.0
2019-12-31,5.73,$-1.57,0.0
2019-09-30,1.58,$-1.88,0.0
2019-06-30,4.05,$-1.99,0.0
2019-03-31,5.26,$-2.48,0.0
2018-12-31,4.08,$-2.46,0.0
2018-09-30,10.0,$-3.95,0.0
2018-06-30,17.86,$9.88,1.81
2018-03-31,15.77,$-4.42,0.0
