Valero Energy Price to Free Cash Flow Ratio Historical Data,Valero Energy Price to Free Cash Flow Ratio Historical Data,Valero Energy Price to Free Cash Flow Ratio Historical Data,Valero Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,134.83,,9.24
2024-12-31,122.59,$14.59,8.4
2024-09-30,134.01,$15.62,8.58
2024-06-30,154.52,$20.59,7.51
2024-03-31,168.26,$17.98,9.36
2023-12-31,127.17,$20.88,6.09
2023-09-30,137.47,$27.51,5.0
2023-06-30,112.88,$23.18,4.87
2023-03-31,133.14,$32.36,4.11
2022-12-31,120.11,$24.99,4.81
2022-09-30,100.44,$22.02,4.56
2022-06-30,99.0,$19.24,5.15
2022-03-31,93.82,$10.50,8.94
2021-12-31,68.63,$9.03,7.6
2021-09-30,63.63,$2.97,21.41
2021-06-30,69.34,$-0.00,0.0
2021-03-31,62.83,$-3.36,0.0
2020-12-31,48.9,$-3.59,0.0
2020-09-30,36.78,$1.64,22.4
2020-06-30,49.05,$4.73,10.37
2020-03-31,37.21,$6.36,5.85
2019-12-31,75.94,$8.54,8.89
2019-09-30,68.49,$8.60,7.96
2019-06-30,67.98,$5.20,13.08
2019-03-31,66.64,$7.68,8.68
2018-12-31,58.25,$6.12,9.52
2018-09-30,87.52,$4.84,18.09
2018-06-30,84.68,$6.31,13.42
2018-03-31,70.4,$5.93,11.87
2017-12-31,69.12,$8.07,8.56
2017-09-30,57.37,$7.90,7.26
2017-06-30,49.79,$7.60,6.55
2017-03-31,48.41,$8.52,5.68
2016-12-31,49.38,$7.63,6.47
2016-09-30,37.95,$6.34,5.98
2016-06-30,36.1,$7.21,5.01
2016-03-31,44.91,$6.78,6.62
2015-12-31,48.99,$7.99,6.13
2015-09-30,41.35,$8.53,4.85
2015-06-30,42.81,$8.92,4.8
2015-03-31,43.21,$6.10,7.09
2014-12-31,33.38,$3.94,8.47
2014-09-30,31.03,$7.19,4.31
2014-06-30,33.42,$4.15,8.05
2014-03-31,35.26,$4.27,8.27
2013-12-31,33.3,$6.28,5.3
2013-09-30,22.45,$1.61,13.97
2013-06-30,22.72,$4.58,4.96
2013-03-31,27.12,$4.47,6.07
2012-12-31,20.25,$4.21,4.81
2012-09-30,18.7,$3.20,5.84
2012-06-30,14.16,$2.05,6.92
2012-03-31,15.01,$1.62,9.29
2011-12-31,12.19,$2.96,4.12
2011-09-30,10.23,$4.68,2.19
2011-06-30,14.68,$4.04,3.64
2011-03-31,17.09,$4.07,4.19
2010-12-31,13.23,$2.32,5.71
2010-09-30,9.99,$1.35,7.4
2010-06-30,10.23,$0.74,13.87
2010-03-31,11.18,$0.09,129.68
2009-12-31,9.48,$-0.89,0.0
