Palo Alto Networks Price to Free Cash Flow Ratio Historical Data,Palo Alto Networks Price to Free Cash Flow Ratio Historical Data,Palo Alto Networks Price to Free Cash Flow Ratio Historical Data,Palo Alto Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,184.01,,44.16
2025-01-31,184.42,$4.17,44.26
2024-10-31,180.17,$4.32,41.72
2024-07-31,162.37,$4.38,37.07
2024-04-30,145.45,$4.29,33.91
2024-01-31,169.26,$4.05,41.82
2023-10-31,121.51,$4.20,28.91
2023-07-31,124.98,$3.84,32.52
2023-04-30,91.23,$4.10,22.26
2023-01-31,79.32,$4.20,18.88
2022-10-31,85.8,$3.85,22.26
2022-07-31,83.18,$3.03,27.44
2022-04-30,93.55,$2.73,34.27
2022-01-31,86.23,$2.57,33.6
2021-10-31,84.85,$2.46,34.45
2021-07-31,66.51,$2.40,27.73
2021-04-30,58.9,$2.39,24.65
2021-01-31,58.46,$2.13,27.45
2020-10-31,36.87,$1.99,18.55
2020-07-31,42.65,$1.41,30.19
2020-04-30,32.75,$1.21,27.1
2020-01-31,39.13,$1.54,25.48
2019-10-31,37.9,$1.55,24.45
2019-07-31,37.76,$1.63,23.16
2019-04-30,41.47,$1.78,23.32
2019-01-31,35.8,$1.67,21.4
2018-10-31,30.51,$1.63,18.75
2018-07-31,33.04,$1.68,19.63
2018-04-30,32.09,$1.58,20.35
2018-01-31,26.31,$1.49,17.62
2017-10-31,24.53,$1.40,17.5
2017-07-31,21.96,$1.30,16.93
2017-04-30,18.07,$1.28,14.16
2017-01-31,24.59,$1.26,19.51
2016-10-31,25.64,$1.21,21.17
2016-07-31,21.82,$1.12,19.45
2016-04-30,25.15,$1.00,25.15
2016-01-31,24.92,$0.87,28.58
2015-10-31,26.83,$0.76,35.5
2015-07-31,30.97,$0.65,47.53
2015-04-30,24.62,$0.37,66.17
2015-01-31,21.07,$0.28,75.21
2014-10-31,17.62,$0.21,84.61
2014-07-31,13.48,$0.12,114.89
2014-04-30,10.6,$0.27,38.72
2014-01-31,9.91,$0.23,42.67
2013-10-31,7.03,$0.23,30.58
2013-07-31,8.16,$0.22,36.51
2013-04-30,9.02,$0.54,16.75
