Graco Price to Free Cash Flow Ratio Historical Data,Graco Price to Free Cash Flow Ratio Historical Data,Graco Price to Free Cash Flow Ratio Historical Data,Graco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,83.28,,27.88
2024-12-31,84.29,$2.99,28.22
2024-09-30,87.25,$2.70,32.27
2024-06-30,78.8,$2.68,29.45
2024-03-31,92.63,$2.88,32.21
2023-12-31,85.73,$2.71,31.66
2023-09-30,71.79,$2.30,31.2
2023-06-30,84.82,$1.85,45.75
2023-03-31,71.48,$1.42,50.5
2022-12-31,65.63,$1.02,64.39
2022-09-30,58.29,$1.00,58.23
2022-06-30,57.56,$1.17,49.08
2022-03-31,66.9,$1.30,51.44
2021-12-31,77.15,$1.85,41.64
2021-09-30,66.78,$2.18,30.59
2021-06-30,72.07,$2.18,33.09
2021-03-31,68.02,$2.13,31.88
2020-12-31,68.54,$1.88,36.53
2020-09-30,57.96,$1.81,32.0
2020-06-30,45.19,$1.79,25.18
2020-03-31,45.72,$1.78,25.67
2019-12-31,48.62,$1.69,28.7
2019-09-30,42.9,$1.72,24.95
2019-06-30,46.61,$1.53,30.45
2019-03-31,45.86,$1.65,27.83
2018-12-31,38.61,$1.81,21.29
2018-09-30,42.61,$1.70,25.0
2018-06-30,41.46,$1.85,22.41
2018-03-31,41.8,$1.75,23.91
2017-12-31,41.34,$1.71,24.21
2017-09-30,37.59,$1.60,23.51
2017-06-30,33.1,$1.66,19.95
2017-03-31,28.4,$1.52,18.7
2016-12-31,24.96,$1.37,18.24
2016-09-30,22.13,$1.24,17.91
2016-06-30,23.52,$0.96,24.5
2016-03-31,24.91,$4.18,5.96
2015-12-31,21.27,$4.29,4.96
2015-09-30,19.7,$4.42,4.45
2015-06-30,20.78,$4.50,4.61
2015-03-31,21.03,$1.23,17.1
2014-12-31,23.27,$1.14,20.47
2014-09-30,21.1,$1.08,19.63
2014-06-30,22.49,$1.05,21.52
2014-03-31,21.45,$1.09,19.7
2013-12-31,22.34,$1.18,19.01
2013-09-30,21.11,$1.17,17.98
2013-06-30,17.95,$1.12,16.0
2013-03-31,16.41,$1.03,15.87
2012-12-31,14.49,$0.93,15.65
2012-09-30,14.09,$0.89,15.76
2012-06-30,12.84,$0.86,14.86
2012-03-31,14.73,$0.79,18.66
2011-12-31,11.29,$0.75,15.04
2011-09-30,9.37,$0.67,14.05
2011-06-30,13.85,$0.52,26.45
2011-03-31,12.38,$0.44,27.85
2010-12-31,10.68,$0.46,23.05
2010-09-30,8.54,$0.48,17.73
2010-06-30,7.54,$0.53,14.15
2010-03-31,8.5,$0.70,12.22
2009-12-31,7.54,$0.75,10.07
