System1 Price to Free Cash Flow Ratio Historical Data,System1 Price to Free Cash Flow Ratio Historical Data,System1 Price to Free Cash Flow Ratio Historical Data,System1 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.47,,0.0
2024-12-31,0.9,$-0.08,0.0
2024-09-30,1.12,$-0.30,0.0
2024-06-30,1.52,$-0.38,0.0
2024-03-31,1.96,$-0.46,0.0
2023-12-31,2.22,$-0.30,0.0
2023-09-30,1.21,$-0.05,0.0
2023-06-30,4.5,$0.11,41.28
2023-03-31,4.3,$0.33,13.15
2022-12-31,4.69,$-0.12,0.0
2022-09-30,6.29,$0.88,7.16
2022-06-30,6.97,$1.39,5.0
2022-03-31,14.51,$1.95,7.45
2021-12-31,9.96,$2.96,3.36
2021-09-30,9.91,$1.92,5.17
2021-06-30,9.9,$1.30,7.61
