111 Price to Free Cash Flow Ratio Historical Data,111 Price to Free Cash Flow Ratio Historical Data,111 Price to Free Cash Flow Ratio Historical Data,111 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.14,,6.29
2024-09-30,0.76,$1.61,0.47
2024-06-30,1.07,$0.31,3.4
2024-03-31,1.16,$-3.74,0.0
2023-12-31,1.55,$-7.61,0.0
2023-09-30,2.6,$-3.53,0.0
2023-06-30,2.46,$-3.86,0.0
2023-03-31,2.65,$-1.75,0.0
2022-12-31,3.02,$-0.93,0.0
2022-09-30,2.68,$-8.66,0.0
2022-06-30,2.06,$-10.97,0.0
2022-03-31,2.66,$-10.72,0.0
2021-12-31,3.5,$-14.21,0.0
2021-09-30,6.17,$-10.35,0.0
2021-06-30,9.09,$-7.88,0.0
2021-03-31,13.8,$-5.50,0.0
2020-12-31,6.95,$-2.64,0.0
2020-09-30,6.2,$-1.13,0.0
2020-06-30,6.35,$-6.38,0.0
2020-03-31,6.61,$-10.18,0.0
2019-12-31,6.73,$-9.34,0.0
2019-09-30,4.87,$-12.89,0.0
