Owlet Price to Free Cash Flow Ratio Historical Data,Owlet Price to Free Cash Flow Ratio Historical Data,Owlet Price to Free Cash Flow Ratio Historical Data,Owlet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.15,,0.0
2024-12-31,4.45,$-1.09,0.0
2024-09-30,4.49,$-1.52,0.0
2024-06-30,4.12,$-1.56,0.0
2024-03-31,4.31,$-2.04,0.0
2023-12-31,5.28,$-2.84,0.0
2023-09-30,4.48,$-3.94,0.0
2023-06-30,0.34,$-5.27,0.0
2023-03-31,0.32,$-7.97,0.0
2022-12-31,0.56,$-10.32,0.0
2022-09-30,1.07,$-13.07,0.0
2022-06-30,1.7,$-6.29,0.0
2022-03-31,4.45,$-8.30,0.0
2021-12-31,2.67,$-9.20,0.0
2021-09-30,5.59,$-5.16,0.0
