Service Price to Free Cash Flow Ratio Historical Data,Service Price to Free Cash Flow Ratio Historical Data,Service Price to Free Cash Flow Ratio Historical Data,Service Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,78.78,,20.8
2024-12-31,79.82,$3.79,21.08
2024-09-30,78.66,$3.97,19.83
2024-06-30,70.62,$3.75,18.81
2024-03-31,73.37,$3.37,21.8
2023-12-31,67.4,$3.33,20.24
2023-09-30,56.03,$2.44,22.94
2023-06-30,63.03,$2.08,30.31
2023-03-31,66.85,$2.08,32.16
2022-12-31,66.92,$2.85,23.5
2022-09-30,55.67,$2.91,19.15
2022-06-30,66.37,$3.35,19.81
2022-03-31,62.96,$3.83,16.45
2021-12-31,67.63,$3.63,18.65
2021-09-30,57.21,$4.24,13.51
2021-06-30,50.69,$4.07,12.45
2021-03-31,48.1,$4.04,11.91
2020-12-31,46.06,$3.25,14.16
2020-09-30,39.4,$2.78,14.2
2020-06-30,36.17,$2.73,13.24
2020-03-31,36.19,$2.07,17.47
2019-12-31,42.41,$2.10,20.24
2019-09-30,43.87,$2.12,20.73
2019-06-30,42.77,$1.91,22.42
2019-03-31,36.56,$2.08,17.55
2018-12-31,36.5,$2.23,16.34
2018-09-30,39.91,$2.19,18.22
2018-06-30,32.19,$2.06,15.59
2018-03-31,33.78,$1.88,17.99
2017-12-31,33.26,$1.78,18.74
2017-09-30,30.62,$1.64,18.66
2017-06-30,29.56,$1.63,18.14
2017-03-31,27.17,$1.55,17.5
2016-12-31,24.88,$1.51,16.5
2016-09-30,23.14,$1.29,17.9
2016-06-30,23.46,$1.24,18.9
2016-03-31,21.31,$1.52,14.01
2015-12-31,22.35,$1.57,14.23
2015-09-30,23.17,$1.49,15.6
2015-06-30,25.06,$1.34,18.77
2015-03-31,22.11,$1.11,20.0
2014-12-31,19.19,$0.81,23.78
2014-09-30,17.8,$0.87,20.39
2014-06-30,17.37,$0.97,17.96
2014-03-31,16.6,$1.13,14.63
2013-12-31,15.08,$1.26,11.99
2013-09-30,15.43,$1.39,11.12
2013-06-30,14.88,$1.49,9.99
2013-03-31,13.75,$1.43,9.6
2012-12-31,11.31,$1.16,9.76
2012-09-30,10.93,$1.18,9.26
2012-06-30,10.0,$1.13,8.81
2012-03-31,9.06,$1.12,8.08
2011-12-31,8.53,$1.14,7.48
2011-09-30,7.3,$1.09,6.68
2011-06-30,9.27,$0.94,9.81
2011-03-31,8.74,$1.01,8.63
2010-12-31,6.49,$1.02,6.34
2010-09-30,6.75,$0.98,6.85
2010-06-30,5.76,$1.04,5.54
2010-03-31,7.12,$1.02,6.95
2009-12-31,6.32,$1.14,5.53
