Glacier Bancorp Price to Free Cash Flow Ratio Historical Data,Glacier Bancorp Price to Free Cash Flow Ratio Historical Data,Glacier Bancorp Price to Free Cash Flow Ratio Historical Data,Glacier Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.51,,22.49
2024-12-31,50.22,$1.98,25.37
2024-09-30,45.1,$2.38,18.93
2024-06-30,36.5,$2.17,16.85
2024-03-31,39.06,$2.72,14.38
2023-12-31,40.07,$4.07,9.84
2023-09-30,27.09,$3.85,7.04
2023-06-30,29.31,$3.99,7.34
2023-03-31,39.18,$4.18,9.38
2022-12-31,46.09,$4.04,11.42
2022-09-30,45.25,$4.35,10.4
2022-06-30,43.38,$4.45,9.74
2022-03-31,45.67,$4.80,9.51
2021-12-31,51.42,$5.66,9.08
2021-09-30,49.63,$5.09,9.75
2021-06-30,49.1,$3.54,13.88
2021-03-31,50.62,$3.14,16.13
2020-12-31,40.68,$1.87,21.72
2020-09-30,27.9,$2.38,11.74
2020-06-30,30.46,$2.91,10.48
2020-03-31,29.1,$2.14,13.58
2019-12-31,39.19,$2.38,16.47
2019-09-30,34.0,$2.43,14.02
2019-06-30,33.85,$2.95,11.47
2019-03-31,33.24,$3.11,10.69
2018-12-31,32.63,$3.13,10.42
2018-09-30,35.07,$2.78,12.62
2018-06-30,31.28,$2.50,12.53
2018-03-31,30.85,$2.49,12.39
2017-12-31,31.66,$3.15,10.04
2017-09-30,30.19,$3.01,10.01
2017-06-30,28.68,$3.40,8.45
2017-03-31,26.42,$2.90,9.09
2016-12-31,27.97,$2.42,11.56
2016-09-30,21.74,$2.05,10.59
2016-06-30,20.11,$1.90,10.61
2016-03-31,19.07,$2.35,8.13
2015-12-31,19.66,$2.10,9.37
2015-09-30,19.29,$2.40,8.04
2015-06-30,21.37,$2.23,9.57
2015-03-31,18.13,$2.01,9.03
2014-12-31,19.79,$2.25,8.78
2014-09-30,18.19,$2.34,7.78
2014-06-30,19.85,$3.13,6.33
2014-03-31,20.21,$3.38,5.98
2013-12-31,20.72,$4.44,4.67
2013-09-30,16.97,$3.98,4.26
2013-06-30,15.16,$2.87,5.29
2013-03-31,12.87,$2.87,4.49
2012-12-31,9.97,$2.41,4.14
2012-09-30,10.38,$2.36,4.41
2012-06-30,10.21,$2.36,4.33
2012-03-31,9.78,$0.54,18.2
2011-12-31,7.79,$2.35,3.31
2011-09-30,5.99,$3.25,1.84
2011-06-30,8.54,$3.02,2.83
2011-03-31,9.45,$4.62,2.05
2010-12-31,9.41,$2.46,3.83
2010-09-30,9.0,$1.16,7.75
2010-06-30,8.98,$2.30,3.89
2010-03-31,9.25,$2.09,4.43
2009-12-31,8.33,$1.38,6.04
