MEI Pharma Price to Free Cash Flow Ratio Historical Data,MEI Pharma Price to Free Cash Flow Ratio Historical Data,MEI Pharma Price to Free Cash Flow Ratio Historical Data,MEI Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.31,,0.0
2024-12-31,2.46,$-5.41,0.0
2024-09-30,2.85,$-6.52,0.0
2024-06-30,2.91,$-7.58,0.0
2024-03-31,4.0,$-6.58,0.0
2023-12-31,5.8,$-7.96,0.0
2023-09-30,5.46,$-8.43,0.0
2023-06-30,5.12,$-7.88,0.0
2023-03-31,3.56,$-9.02,0.0
2022-12-31,3.79,$-9.67,0.0
2022-09-30,6.02,$-8.74,0.0
2022-06-30,9.42,$-7.87,0.0
2022-03-31,9.38,$-6.93,0.0
2021-12-31,41.56,$-7.25,0.0
2021-09-30,42.96,$-5.37,0.0
2021-06-30,44.36,$-5.71,0.0
2021-03-31,53.38,$10.25,5.21
2020-12-31,41.09,$12.57,3.27
2020-09-30,48.56,$9.45,5.14
2020-06-30,64.28,$7.33,8.77
2020-03-31,25.06,$-8.86,0.0
2019-12-31,38.6,$-11.69,0.0
2019-09-30,26.15,$-8.40,0.0
2019-06-30,38.91,$-8.19,0.0
2019-03-31,47.78,$-6.84,0.0
2018-12-31,41.09,$-6.86,0.0
2018-09-30,67.08,$-10.25,0.0
2018-06-30,61.32,$-10.15,0.0
2018-03-31,32.22,$-11.08,0.0
2017-12-31,32.68,$-6.89,0.0
2017-09-30,41.71,$-6.57,0.0
2017-06-30,37.2,$1.86,20.0
2017-03-31,25.21,$1.54,16.42
2016-12-31,22.41,$-1.88,0.0
2016-09-30,27.39,$-2.12,0.0
2016-06-30,21.17,$-10.38,0.0
2016-03-31,19.61,$-15.52,0.0
2015-12-31,24.9,$-14.53,0.0
2015-09-30,24.44,$-17.05,0.0
2015-06-30,26.61,$-19.91,0.0
2015-03-31,27.86,$-19.52,0.0
2014-12-31,66.46,$-22.12,0.0
2014-09-30,107.39,$-20.90,0.0
2014-06-30,98.68,$-19.44,0.0
2014-03-31,173.23,$-22.79,0.0
2013-12-31,124.67,$-11.30,0.0
2013-09-30,175.1,$-10.37,0.0
2013-06-30,110.97,$-19.84,0.0
2013-03-31,134.32,$-25.47,0.0
2012-12-31,108.95,$-44.64,0.0
2012-09-30,43.05,$-55.58,0.0
2012-06-30,39.32,$-63.00,0.0
2012-03-31,70.97,$-70.85,0.0
2011-12-31,97.12,$-85.89,0.0
2011-09-30,138.21,$-99.10,0.0
2011-06-30,95.25,$-102.80,0.0
2011-03-31,147.55,$-116.93,0.0
2010-12-31,90.58,$-114.11,0.0
2010-09-30,109.26,$-126.64,0.0
2010-06-30,117.66,$-163.91,0.0
2010-03-31,471.59,$-193.82,0.0
2009-12-31,653.69,$-275.41,0.0
