Butterfly Network Price to Free Cash Flow Ratio Historical Data,Butterfly Network Price to Free Cash Flow Ratio Historical Data,Butterfly Network Price to Free Cash Flow Ratio Historical Data,Butterfly Network Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.75,,0.0
2024-12-31,3.12,$-0.21,0.0
2024-09-30,1.77,$-0.27,0.0
2024-06-30,0.84,$-0.31,0.0
2024-03-31,1.08,$-0.39,0.0
2023-12-31,1.08,$-0.51,0.0
2023-09-30,1.18,$-0.59,0.0
2023-06-30,2.3,$-0.74,0.0
2023-03-31,1.88,$-0.86,0.0
2022-12-31,2.46,$-0.94,0.0
2022-09-30,4.7,$-1.15,0.0
2022-06-30,3.07,$-1.16,0.0
2022-03-31,4.76,$-0.82,0.0
2021-12-31,6.69,$-1.13,0.0
2021-09-30,10.44,$-4.15,0.0
2021-06-30,14.48,$-14.41,0.0
