Cara Therapeutics Price to Free Cash Flow Ratio Historical Data,Cara Therapeutics Price to Free Cash Flow Ratio Historical Data,Cara Therapeutics Price to Free Cash Flow Ratio Historical Data,Cara Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.15,,0.0
2024-12-31,6.12,$-13.58,0.0
2024-09-30,0.31,$-17.00,0.0
2024-06-30,0.26,$-18.33,0.0
2024-03-31,0.91,$-20.10,0.0
2023-12-31,0.74,$-20.93,0.0
2023-09-30,1.68,$-21.88,0.0
2023-06-30,2.83,$-23.13,0.0
2023-03-31,4.91,$-19.60,0.0
2022-12-31,10.74,$-17.62,0.0
2022-09-30,9.36,$-12.48,0.0
2022-06-30,9.13,$-10.24,0.0
2022-03-31,12.15,$-14.26,0.0
2021-12-31,12.18,$-14.21,0.0
2021-09-30,15.45,$6.93,2.23
2021-06-30,14.27,$4.75,3.01
2021-03-31,21.71,$2.69,8.07
2020-12-31,15.13,$-1.46,0.0
2020-09-30,12.73,$-32.15,0.0
2020-06-30,17.1,$-31.84,0.0
2020-03-31,13.21,$-32.22,0.0
2019-12-31,16.11,$-30.74,0.0
2019-09-30,18.28,$-29.17,0.0
2019-06-30,21.5,$-31.41,0.0
2019-03-31,19.62,$-9.06,0.0
2018-12-31,13.0,$-7.48,0.0
2018-09-30,23.95,$-4.47,0.0
2018-06-30,19.15,$-0.48,0.0
2018-03-31,12.38,$-18.37,0.0
2017-12-31,12.24,$-21.10,0.0
2017-09-30,13.69,$-21.83,0.0
2017-06-30,15.39,$-24.23,0.0
2017-03-31,18.39,$-26.35,0.0
2016-12-31,9.29,$-21.17,0.0
2016-09-30,8.35,$-17.67,0.0
2016-06-30,4.81,$-14.92,0.0
2016-03-31,6.22,$-12.05,0.0
2015-12-31,16.86,$-10.48,0.0
2015-09-30,14.29,$-12.01,0.0
2015-06-30,12.15,$-11.23,0.0
2015-03-31,10.05,$-10.52,0.0
2014-12-31,9.97,$-10.13,0.0
