Hess Price to Free Cash Flow Ratio Historical Data,Hess Price to Free Cash Flow Ratio Historical Data,Hess Price to Free Cash Flow Ratio Historical Data,Hess Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,157.37,,72.41
2024-12-31,133.01,$2.17,61.2
2024-09-30,135.3,$3.24,41.77
2024-06-30,146.41,$1.79,81.66
2024-03-31,151.03,$-0.12,0.0
2023-12-31,142.23,$-0.53,0.0
2023-09-30,150.5,$1.76,85.67
2023-06-30,133.36,$3.81,35.01
2023-03-31,129.4,$6.05,21.39
2022-12-31,138.2,$4.51,30.63
2022-09-30,105.91,$3.82,27.73
2022-06-30,102.63,$2.60,39.55
2022-03-31,103.37,$2.22,46.51
2021-12-31,71.21,$5.08,14.03
2021-09-30,74.89,$5.75,13.01
2021-06-30,83.42,$4.03,20.7
2021-03-31,67.41,$0.68,99.26
2020-12-31,50.11,$-1.22,0.0
2020-09-30,38.67,$-4.96,0.0
2020-06-30,48.67,$-4.89,0.0
2020-03-31,31.13,$-3.65,0.0
2019-12-31,62.01,$-3.87,0.0
2019-09-30,55.91,$-1.35,0.0
2019-06-30,58.53,$1.07,54.67
2019-03-31,55.21,$0.66,84.25
2018-12-31,36.97,$1.51,24.55
2018-09-30,65.02,$8.12,8.01
2018-06-30,60.53,$7.14,8.48
2018-03-31,45.62,$6.55,6.96
2017-12-31,42.56,$7.34,5.8
2017-09-30,41.8,$-0.36,0.0
2017-06-30,38.88,$-1.56,0.0
2017-03-31,42.49,$-1.79,0.0
2016-12-31,54.61,$-4.25,0.0
2016-09-30,46.83,$-4.89,0.0
2016-06-30,52.2,$-6.59,0.0
2016-03-31,45.54,$-7.26,0.0
2015-12-31,41.72,$-8.07,0.0
2015-09-30,42.87,$-8.62,0.0
2015-06-30,57.02,$-5.70,0.0
2015-03-31,57.65,$0.26,221.73
2014-12-31,62.48,$7.22,8.66
2014-09-30,79.52,$11.64,6.83
2014-06-30,83.16,$10.62,7.83
2014-03-31,69.51,$12.86,5.4
2013-12-31,69.4,$10.83,6.41
2013-09-30,64.46,$7.97,8.09
2013-06-30,55.24,$9.13,6.05
2013-03-31,59.41,$0.53,111.21
2012-12-31,43.87,$-3.46,0.0
2012-09-30,44.42,$-6.16,0.0
2012-06-30,35.86,$-10.66,0.0
2012-03-31,48.54,$-7.69,0.0
2011-12-31,46.7,$-4.32,0.0
2011-09-30,43.05,$-4.26,0.0
2011-06-30,61.25,$-1.16,0.0
2011-03-31,69.72,$-1.83,0.0
2010-12-31,62.54,$-2.37,0.0
2010-09-30,48.25,$1.32,36.61
2010-06-30,41.01,$1.76,23.26
2010-03-31,50.86,$1.31,38.83
2009-12-31,49.11,$0.39,125.09
