Farmland Partners Price to Free Cash Flow Ratio Historical Data,Farmland Partners Price to Free Cash Flow Ratio Historical Data,Farmland Partners Price to Free Cash Flow Ratio Historical Data,Farmland Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.05,,2.0
2024-12-31,11.76,$5.51,2.13
2024-09-30,10.39,$0.66,15.7
2024-06-30,11.4,$2.06,5.54
2024-03-31,10.98,$2.63,4.17
2023-12-31,12.27,$3.09,3.97
2023-09-30,9.88,$1.91,5.16
2023-06-30,11.69,$0.46,25.48
2023-03-31,10.2,$-0.21,0.0
2022-12-31,11.81,$-0.48,0.0
2022-09-30,11.95,$-0.33,0.0
2022-06-30,12.95,$-0.44,0.0
2022-03-31,12.85,$-1.22,0.0
2021-12-31,11.13,$-0.16,0.0
2021-09-30,11.12,$0.44,25.31
2021-06-30,11.13,$0.92,12.14
2021-03-31,10.31,$2.04,5.05
2020-12-31,7.96,$1.25,6.39
2020-09-30,6.06,$0.95,6.38
2020-06-30,6.19,$1.10,5.62
2020-03-31,5.44,$1.33,4.08
2019-12-31,6.03,$1.46,4.12
2019-09-30,5.9,$1.39,4.24
2019-06-30,6.18,$1.66,3.72
2019-03-31,5.57,$1.23,4.52
2018-12-31,3.92,$0.19,21.17
2018-09-30,5.72,$-3.79,0.0
2018-06-30,7.46,$-4.65,0.0
2018-03-31,6.98,$-4.57,0.0
2017-12-31,7.14,$-7.27,0.0
2017-09-30,7.44,$-4.44,0.0
2017-06-30,7.26,$-4.87,0.0
2017-03-31,8.94,$-5.80,0.0
2016-12-31,8.83,$-10.03,0.0
2016-09-30,8.76,$-11.73,0.0
2016-06-30,8.75,$-9.55,0.0
2016-03-31,8.2,$-17.68,0.0
2015-12-31,8.29,$-11.34,0.0
2015-09-30,7.84,$-32.26,0.0
2015-06-30,8.77,$-29.70,0.0
2015-03-31,8.56,$-30.29,0.0
