StealthGas Price to Free Cash Flow Ratio Historical Data,StealthGas Price to Free Cash Flow Ratio Historical Data,StealthGas Price to Free Cash Flow Ratio Historical Data,StealthGas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.88,,4.48
2024-09-30,6.81,$1.31,5.19
2024-06-30,7.35,$1.94,3.79
2024-03-31,5.94,$2.39,2.49
2023-12-31,6.46,$4.23,1.53
2023-09-30,5.04,$4.18,1.21
2023-06-30,4.26,$2.83,1.51
2023-03-31,2.61,$1.53,1.71
2022-12-31,2.68,$1.77,1.51
2022-09-30,2.56,$1.55,1.65
2022-06-30,3.21,$2.11,1.52
2022-03-31,2.4,$1.93,1.24
2021-12-31,2.11,$0.62,3.38
2021-09-30,2.41,$0.54,4.46
2021-06-30,2.53,$0.11,22.08
2021-03-31,2.55,$-0.45,0.0
2020-12-31,2.11,$0.24,8.76
2020-09-30,2.67,$0.35,7.66
2020-06-30,2.47,$0.79,3.13
2020-03-31,1.77,$1.18,1.5
2019-12-31,3.09,$1.17,2.64
2019-09-30,2.73,$1.18,2.32
2019-06-30,3.09,$1.39,2.23
2019-03-31,3.15,$1.02,3.09
2018-12-31,2.48,$-1.02,0.0
2018-09-30,3.2,$-0.84,0.0
2018-06-30,3.57,$-1.14,0.0
2018-03-31,3.63,$-1.49,0.0
2017-12-31,3.92,$0.08,48.48
2017-09-30,2.98,$-0.24,0.0
2017-06-30,2.92,$-0.57,0.0
2017-03-31,3.59,$-0.29,0.0
2016-12-31,3.04,$-0.47,0.0
2016-09-30,3.12,$-0.27,0.0
2016-06-30,3.4,$-2.35,0.0
2016-03-31,3.18,$-2.96,0.0
2015-12-31,3.09,$-2.54,0.0
2015-09-30,4.04,$-2.25,0.0
2015-06-30,6.07,$-0.87,0.0
2015-03-31,5.89,$-0.76,0.0
2014-12-31,5.68,$-1.19,0.0
2014-09-30,8.19,$-2.47,0.0
2014-06-30,9.98,$-3.00,0.0
2014-03-31,10.23,$-3.47,0.0
2013-12-31,9.17,$-2.66,0.0
2013-09-30,8.22,$-1.45,0.0
2013-06-30,9.89,$-0.60,0.0
2013-03-31,10.79,$1.16,9.29
2012-12-31,7.13,$0.19,37.17
2012-09-30,6.11,$0.15,41.52
2012-06-30,5.23,$0.22,24.12
2012-03-31,5.31,$0.22,23.67
2011-12-31,3.47,$0.59,5.86
2011-09-30,3.53,$0.10,35.65
2011-06-30,3.85,$-2.61,0.0
2011-03-31,5.66,$-1.74,0.0
2010-12-31,7.15,$-0.28,0.0
2010-09-30,3.91,$0.68,5.75
2010-06-30,4.16,$1.56,2.67
2010-03-31,4.54,$-0.59,0.0
2009-12-31,5.61,$-2.35,0.0
