Antero Resources Price to Free Cash Flow Ratio Historical Data,Antero Resources Price to Free Cash Flow Ratio Historical Data,Antero Resources Price to Free Cash Flow Ratio Historical Data,Antero Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.97,,16.97
2024-12-31,35.05,$2.41,14.51
2024-09-30,28.65,$2.56,11.2
2024-06-30,32.63,$2.53,12.92
2024-03-31,29.0,$2.53,11.44
2023-12-31,22.68,$2.66,8.54
2023-09-30,25.38,$2.98,8.5
2023-06-30,23.03,$5.85,3.94
2023-03-31,23.09,$7.93,2.91
2022-12-31,30.99,$8.78,3.53
2022-09-30,30.53,$6.99,4.37
2022-06-30,30.65,$4.54,6.75
2022-03-31,30.53,$2.94,10.39
2021-12-31,17.5,$3.07,5.69
2021-09-30,18.81,$4.40,4.28
2021-06-30,15.03,$4.17,3.6
2021-03-31,10.2,$3.70,2.76
2020-12-31,5.45,$2.53,2.16
2020-09-30,2.75,$2.13,1.29
2020-06-30,2.54,$2.13,1.19
2020-03-31,0.71,$2.32,0.31
2019-12-31,2.85,$3.06,0.93
2019-09-30,3.02,$4.71,0.64
2019-06-30,5.53,$4.80,1.15
2019-03-31,8.83,$4.59,1.92
2018-12-31,9.39,$4.30,2.18
2018-09-30,17.71,$2.71,6.53
2018-06-30,21.35,$4.66,4.58
2018-03-31,19.85,$3.93,5.05
2017-12-31,19.0,$3.39,5.6
2017-09-30,19.9,$3.79,5.25
2017-06-30,21.61,$-0.13,0.0
2017-03-31,22.81,$0.60,37.78
2016-12-31,23.65,$0.83,28.42
2016-09-30,26.95,$0.03,863.78
2016-06-30,25.98,$1.57,16.59
2016-03-31,24.87,$1.41,17.66
2015-12-31,21.8,$1.31,16.64
2015-09-30,21.16,$0.03,609.8
2015-06-30,34.34,$-0.94,0.0
2015-03-31,35.32,$-1.77,0.0
2014-12-31,40.58,$-2.33,0.0
2014-09-30,54.89,$-3.11,0.0
