CVD Equipment Price to Free Cash Flow Ratio Historical Data,CVD Equipment Price to Free Cash Flow Ratio Historical Data,CVD Equipment Price to Free Cash Flow Ratio Historical Data,CVD Equipment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.16,,0.0
2024-12-31,4.4,$-0.20,0.0
2024-09-30,3.31,$-0.53,0.0
2024-06-30,3.89,$-0.43,0.0
2024-03-31,4.71,$0.19,24.74
2023-12-31,4.43,$-0.00,0.0
2023-09-30,6.65,$0.31,21.21
2023-06-30,7.37,$0.17,42.68
2023-03-31,13.3,$-0.34,0.0
2022-12-31,5.51,$-0.08,0.0
2022-09-30,5.2,$-0.55,0.0
2022-06-30,3.95,$2.66,1.49
2022-03-31,4.48,$2.77,1.62
2021-12-31,4.13,$2.77,1.49
2021-09-30,4.58,$2.83,1.62
2021-06-30,4.5,$-0.50,0.0
2021-03-31,4.35,$-0.48,0.0
2020-12-31,3.63,$-0.41,0.0
2020-09-30,3.06,$-0.04,0.0
2020-06-30,3.08,$-0.14,0.0
2020-03-31,2.38,$-0.49,0.0
2019-12-31,3.22,$-0.32,0.0
2019-09-30,3.33,$-1.03,0.0
2019-06-30,3.65,$-0.96,0.0
2019-03-31,3.93,$-0.20,0.0
2018-12-31,3.55,$-0.31,0.0
2018-09-30,6.15,$-1.96,0.0
2018-06-30,6.66,$-2.43,0.0
2018-03-31,9.13,$-2.32,0.0
2017-12-31,11.62,$-2.70,0.0
2017-09-30,11.0,$0.23,48.22
2017-06-30,11.07,$1.27,8.69
2017-03-31,10.38,$0.98,10.61
2016-12-31,8.68,$1.39,6.24
2016-09-30,8.36,$0.47,17.63
2016-06-30,8.58,$0.57,15.05
2016-03-31,8.41,$0.83,10.18
2015-12-31,10.08,$0.24,42.64
2015-09-30,11.0,$0.38,29.0
2015-06-30,11.16,$0.20,55.08
2015-03-31,13.78,$-0.63,0.0
2014-12-31,14.39,$0.15,94.3
2014-09-30,12.94,$0.14,93.84
2014-06-30,12.11,$0.37,32.74
2014-03-31,13.97,$0.47,29.58
2013-12-31,14.54,$0.08,183.59
2013-09-30,9.66,$-0.14,0.0
2013-06-30,8.33,$-0.81,0.0
2013-03-31,10.15,$-1.11,0.0
2012-12-31,9.6,$-1.69,0.0
2012-09-30,9.68,$-1.65,0.0
2012-06-30,12.86,$-1.92,0.0
2012-03-31,13.51,$-1.10,0.0
2011-12-31,12.03,$0.71,17.01
2011-09-30,13.5,$1.16,11.63
2011-06-30,13.02,$1.51,8.62
2011-03-31,10.81,$1.88,5.76
2010-12-31,7.2,$0.71,10.19
2010-09-30,4.63,$-0.01,0.0
2010-06-30,3.1,$0.04,88.57
2010-03-31,3.35,$-0.68,0.0
2009-12-31,4.15,$-0.47,0.0
