ticker,pe_ratio,combinedrank
DYAI,0.0,25.0
ITRM,0.0,191.0
UNCY,0.0,184.5
MIND,31.67,121.0
OPTT,0.0,244.75
FUN,7.85,174.0
MAPS,0.0,144.0
ZIM,1.07,192.25
LFST,0.0,236.25
YPF,34.0,265.75
OUST,0.0,260.5
MLSS,0.0,331.5
NL,6.63,371.75
MMI,0.0,320.5
SONY,17.2,268.25
CXAI,0.0,440.25
GRAB,0.0,276.75
KLTR,0.0,338.5
UIS,0.0,339.0
KEP,6.49,447.25
DLNG,4.76,451.75
IAG,42.83,329.25
NTGR,60.25,387.75
DOCU,0.0,321.0
SIEB,11.96,459.5
SNDL,0.0,441.5
AUPH,0.0,429.25
THTX,0.0,454.0
CRNT,106.73,525.25
CTV,0.0,382.0
HIPO,0.0,525.0
BRBS,0.0,477.25
UTZ,0.0,453.25
NCLH,24.69,378.25
NTRS,12.75,419.5
ERIC,0.0,403.25
CRGO,0.0,510.5
LUMN,4.17,380.25
CSBR,0.0,512.75
SNFCA,9.61,524.75
TALK,0.0,522.5
HWBK,33.28,544.25
EXFY,0.0,522.25
ONDS,0.0,586.75
GSIT,0.0,565.5
AEVA,0.0,553.5
SCHW,29.03,427.75
PTON,0.0,533.5
FOXA,12.11,435.5
CCL,23.93,420.0
SLF,13.12,521.0
GM,5.52,429.25
OXBR,5.29,596.75
VVI,85.82,544.25
KORE,0.0,603.5
HBI,0.0,440.0
KALA,0.0,601.0
CBL,28.99,547.0
TWLO,0.0,459.25
PACK,0.0,561.25
NEUE,0.0,608.5
OCFT,26.09,596.25
HITI,0.0,628.25
DCTH,0.0,589.25
CISO,0.0,647.0
NEXN,33.07,604.25
INVZ,0.0,572.0
COMP,0.0,493.25
ROIC,37.63,529.5
LH,44.22,580.75
KRON,0.0,667.75
LAUR,11.62,549.25
CYCN,5.32,610.5
CPAC,9.75,650.5
TOMZ,0.0,666.25
FRBA,11.48,628.75
BAND,0.0,613.25
TRTX,12.71,563.25
FINV,5.84,640.0
CTM,0.0,686.5
SMTC,0.0,556.0
MRC,11.95,593.25
EEFT,14.98,601.5
TGS,6.18,638.5
FRSX,0.0,526.5
FSM,54.0,542.25
UAMY,0.0,702.75
PHR,0.0,623.75
SQ,50.37,554.75
IMAX,40.87,670.25
EXEL,21.34,562.25
ISSC,22.03,683.0
ULCC,0.0,606.25
OSW,41.18,642.0
ZVIA,0.0,721.75
TIPT,20.98,701.5
OLO,0.0,622.5
USEG,0.0,701.0
RAND,3.43,719.5
AFRM,0.0,591.25
SAFT,16.26,697.75
TRP,12.68,644.0
ZDGE,0.0,676.0
GLUE,0.0,636.5
HMN,15.75,690.0
KMPR,15.49,679.0
GAMB,18.58,702.0
MNMD,0.0,739.75
UNM,7.79,629.5
AWRE,0.0,733.25
SHOP,101.82,630.25
BRFS,10.12,644.75
CPRX,18.03,684.5
MDT,24.78,614.75
FGEN,0.0,663.75
ORN,0.0,678.0
SGMO,0.0,615.5
VRAR,0.0,642.5
JVA,6.21,758.75
CCLD,0.0,776.75
UPWK,26.1,664.5
LFT,7.64,774.75
DGICB,22.82,771.0
FR,21.77,674.25
LIND,0.0,732.25
PAYO,28.91,644.25
QFIN,2.94,696.5
VZLA,0.0,710.75
IDT,0.0,770.75
ECOR,0.0,753.25
ADPT,0.0,710.75
ACM,36.48,685.5
INSP,175.49,719.75
RBLX,0.0,656.25
BBVA,5.56,816.75
SANG,0.0,790.75
MET,16.4,660.75
VCYT,0.0,708.5
FOX,12.28,701.75
SABR,0.0,661.75
ARQ,0.0,748.75
SRZN,0.0,814.0
IP,46.54,681.75
GLAD,7.21,786.75
AXTA,23.24,683.25
FTI,19.01,687.75
ZUMZ,0.0,775.0
H,12.05,736.75
TOST,0.0,691.0
PNW,16.09,747.0
MO,9.09,680.25
MFC,14.65,723.0
KMB,17.03,710.75
BKKT,0.0,819.5
BNTC,0.69,781.5
HIMS,0.0,700.25
CRON,0.0,752.0
DEI,0.0,719.0
KOD,0.0,865.25
WRBY,0.0,749.75
