Date,Tickers
2024-10-14,[]
2024-10-15,"['NISN', 'ADN']"
2024-10-16,"['WINA', 'DOGZ', 'MMLP']"
2024-10-17,"['IRDM', 'CZNC']"
2024-10-18,"['KSPI', 'ACU', 'CLPS']"
2024-10-21,"['PAC', 'ESRT', 'LU', 'HSTM', 'MYNZ']"
2024-10-22,"['CSGP', 'GPC', 'AGR', 'RRC', 'ASR', 'ADC', 'MTDR', 'VMI', 'JBT', 'VICR', 'ROIC', 'VLRS', 'LODE']"
2024-10-23,"['KO', 'CME', 'NEM', 'WCN', 'VRT', 'LYG', 'WAB', 'TYL', 'ROL', 'TRU', 'WSO', 'ICLR', 'MORN', 'CHDN', 'LAD', 'PEGA', 'WH', 'KBR', 'WFG', 'MSA', 'TMHC', 'FAF', 'COOP', 'EPRT', 'VIST', 'PI', 'GSHD', 'TNL', 'BXMT', 'PTEN', 'JOE', 'OII', 'QS', 'PRG', 'GTY', 'CSTM', 'MCRI', 'HLX', 'KALU', 'BELFA', 'BELFB', 'ARR', 'AMSF', 'HCSG', 'RBBN', 'CYH', 'TZOO', 'EQC', 'VGZ', 'LOAN']"
2024-10-24,"['DLR', 'BCS', 'KDP', 'VALE', 'CBRE', 'TECK', 'WST', 'KB', 'LH', 'SSNC', 'PFG', 'FIX', 'RS', 'DOC', 'POOL', 'GLPI', 'SUZ', 'FTI', 'TXRH', 'UHS', 'ALLE', 'KNSL', 'LKQ', 'HAS', 'FCN', 'R', 'ADT', 'DAR', 'ALKS', 'LTH', 'ITGR', 'BWMX', 'TPH', 'SAM', 'MGRC', 'VC', 'SAH', 'TR', 'VTMX', 'GTX', 'ROG', 'AMBP', 'TROX', 'WKC', 'INDV', 'XPRO', 'ALEX', 'ULH', 'TV', 'PHAR', 'CTO', 'UVE', 'UHT', 'DGICA', 'DGICB', 'MTLS', 'SHYF', 'ZYXI', 'BYON', 'ESCA', 'NKSH', 'ECBK', 'BRFH', 'NTIP', 'DAIO', 'ASPS', 'SCKT']"
2024-10-25,"['E', 'NWG', 'KOF', 'AVTR', 'AN', 'BCPC', 'POR', 'NWL', 'TNET', 'OMAB', 'B', 'CRI', 'BHRB', 'NRC']"
2024-10-28,"['WELL', 'FMX', 'SBAC', 'CNP', 'BRX', 'TREX', 'FLS', 'UFPI', 'CCCS', 'ESI', 'PRCT', 'NARI', 'NWE', 'AKR', 'AESI', 'CWH', 'TMDX', 'CVI', 'SJW', 'UCTT', 'LTC', 'CSR', 'UAN', 'PLOW', 'QUAD', 'RNGR', 'SEVN', 'ISPO', 'EKSO']"
