ticker,pe_ratio,combinedrank
TBLA,0.0,1.0
NEM,16.3,2.0
IAG,4.84,3.0
SMTC,0.0,4.0
LXFR,17.49,5.0
CMMB,0.0,6.0
WWW,17.6,7.0
LBTYK,2.96,8.0
PRM,11.28,9.0
GLUE,0.0,10.0
CDE,53.5,11.0
DVA,13.87,12.0
COMM,0.0,13.0
ARQT,0.0,14.0
COHR,81.54,15.0
ALLK,0.0,16.0
OSPN,10.89,17.0
DLNG,4.19,18.0
NVDA,0.0,19.0
SGMO,0.0,20.0
GDC,0.0,21.0
LAB,0.0,22.0
PAAS,26.48,23.0
BLFS,0.0,24.0
VVX,47.77,25.0
YPF,34.0,26.0
HRMY,13.9,27.0
MSB,4.0,28.0
NU,31.67,29.0
CCLD,0.0,30.0
HIPO,0.0,31.0
NEXT,0.0,32.0
AIHS,0.0,33.0
AVAH,0.0,34.0
SUZ,15.6,35.0
DCTH,0.0,36.0
CPS,0.0,36.0
LUMN,0.0,38.0
VIV,14.15,39.0
SATS,0.0,40.0
BNTC,0.0,41.0
FURY,0.0,42.0
BZFD,0.0,43.0
ONFO,0.0,44.0
PSNL,0.0,45.0
VXRT,0.0,46.0
CLLS,0.0,47.0
SLQT,0.0,48.0
CALM,8.42,49.0
TISI,0.0,50.0
ZBRA,28.0,51.0
FEAM,0.0,52.0
EGO,11.39,53.0
NGD,25.62,54.0
BLRX,0.0,55.0
BCAB,0.0,56.0
DDL,31.44,57.0
SND,35.0,58.0
ATYR,0.0,59.0
CADL,0.0,60.0
VERU,0.0,61.0
FIS,28.51,62.0
RERE,0.0,63.0
GOLD,15.67,64.0
SBGI,3.6,65.0
ENZ,0.0,66.0
KOD,0.0,67.0
RLGT,22.43,68.0
WOOF,0.0,69.0
ADMA,0.0,70.0
MGNI,0.0,71.0
PASG,0.0,72.0
SPXC,20.15,73.0
TGNA,5.31,74.0
CHRW,25.79,75.0
ERIC,inf,76.0
CTMX,1.75,77.0
NWPX,12.79,78.0
CARG,165.94,79.0
TSM,14.45,80.0
ZENV,0.0,81.0
ELDN,0.0,82.0
EVER,32.62,83.0
NJR,14.81,84.0
COIN,20.04,85.0
MCS,0.0,86.0
CYRX,0.0,87.0
FOA,0.0,88.0
PTGX,0.0,89.0
MNKD,52.6,90.0
SYF,6.31,91.0
PKE,38.03,92.0
KRNT,0.0,93.0
CPRX,0.0,94.0
TARS,0.0,95.0
PW,0.0,95.0
NTRB,0.0,97.0
KGC,35.87,98.0
GNSS,0.0,99.0
ASRV,15.31,100.0
GAN,0.0,101.0
BSAC,11.82,102.0
CLX,39.71,103.0
ANET,37.37,104.0
SOFI,0.0,105.0
FPI,11.05,105.0
TDS,0.0,107.0
RIME,0.0,108.0
RZLT,0.0,109.0
HNNA,80.73,110.0
GENI,0.0,111.0
SFIX,0.0,112.0
FKWL,0.0,113.0
PRTH,11.27,114.0
BCOW,0.0,114.0
TMHC,7.34,114.0
LXRX,0.0,117.0
NTGR,60.25,118.0
VIRT,18.0,119.0
AHCO,16.68,120.0
RY,12.79,121.0
AIV,0.0,122.0
SPIR,0.0,123.0
BKR,15.0,124.0
ENVA,5.44,125.0
NEXN,33.07,126.0
GTN,1.56,127.0
PWP,0.0,128.0
INUV,0.0,129.0
AYTU,0.0,130.0
MCY,6.72,131.0
OTLY,0.0,132.0
MFC,14.75,133.0
HUT,6.76,134.0
CLPR,0.0,135.0
AEM,76.55,136.0
RIVN,0.0,137.0
XCUR,0.0,137.0
JWN,14.13,139.0
CM,10.15,140.0
UFCS,12.2,141.0
BE,0.0,142.0
DJCO,7.21,143.0
NCLH,10.8,144.0
DGICA,22.44,145.0
QFIN,2.94,146.0
LSF,0.0,147.0
TARA,0.0,148.0
GIGM,0.0,149.0
JNPR,42.05,150.0
HROW,0.0,151.0
ORLA,0.0,152.0
AXS,7.69,153.0
TCOM,19.32,154.0
CARE,15.65,155.0
RIGL,21.67,156.0
NYC,0.0,157.0
VLGEA,9.52,157.0
MOGO,0.0,159.0
PTCT,0.0,160.0
NREF,14.99,161.0
EZPW,10.75,162.0
ASM,95.0,163.0
OWLT,0.0,164.0
ABG,10.79,164.0
SSP,43.14,166.0
K,21.27,167.0
BLIN,0.0,168.0
ABUS,0.0,169.0
FDP,10.08,170.0
SANG,0.0,171.0
DOV,9.32,172.0
TG,30.4,172.0
FHI,12.47,174.0
PL,0.0,174.0
HYLN,0.0,176.0
MDGL,0.0,177.0
GLW,83.91,178.0
YOU,17.29,179.0
RDWR,0.0,180.0
LITE,0.0,180.0
BOOT,19.16,180.0
STKL,0.0,183.0
VFC,0.0,184.0
WLDN,27.25,184.0
EYEN,0.0,186.0
AGNC,10.61,187.0
FLEX,14.54,188.0
BOX,22.39,189.0
ERAS,0.0,190.0
BHF,11.24,191.0
RSVR,68.09,192.0
OPTN,0.0,193.0
CERS,0.0,194.0
EQH,11.9,195.0
THC,3.92,196.0
TEO,5.08,197.0
JVA,11.13,198.0
HTCR,4.42,199.0
RPID,0.0,200.0
LAZ,17.21,201.0
BMA,7.0,202.0
CZNC,12.21,203.0
GRAB,0.0,204.0
RNGR,17.68,205.0
KINS,1.14,206.0
UIS,0.0,207.0
CX,20.1,207.0
EFXT,30.56,209.0
SF,15.74,210.0
SNFCA,10.49,211.0
