Telos PE Ratio Historical Data,Telos PE Ratio Historical Data,Telos PE Ratio Historical Data,Telos PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.69,,0.0
2024-12-31,3.42,$-0.60,0.0
2024-09-30,3.59,$-0.70,0.0
2024-06-30,4.02,$-0.43,0.0
2024-03-31,4.16,$-0.44,0.0
2023-12-31,3.65,$-0.50,0.0
2023-09-30,2.39,$-0.61,0.0
2023-06-30,2.56,$-0.60,0.0
2023-03-31,2.53,$-0.66,0.0
2022-12-31,5.09,$-0.72,0.0
2022-09-30,8.89,$-0.59,0.0
2022-06-30,8.08,$-0.56,0.0
2022-03-31,9.97,$-0.66,0.0
2021-12-31,15.42,$-0.67,0.0
2021-09-30,28.42,$-0.51,0.0
