Suncor Energy PE Ratio Historical Data,Suncor Energy PE Ratio Historical Data,Suncor Energy PE Ratio Historical Data,Suncor Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.71,,10.93
2024-12-31,35.68,$3.45,10.34
2024-09-30,36.39,$4.59,7.93
2024-06-30,37.16,$4.31,8.62
2024-03-31,36.0,$4.49,8.02
2023-12-31,30.9,$4.70,6.57
2023-09-30,32.76,$4.60,7.12
2023-06-30,27.62,$3.37,8.2
2023-03-31,28.87,$4.52,6.39
2022-12-31,29.18,$5.01,5.82
2022-09-30,25.58,$4.36,5.87
2022-06-30,31.5,$5.17,6.09
2022-03-31,29.01,$3.42,8.48
2021-12-31,22.04,$2.22,9.93
2021-09-30,18.02,$1.29,13.97
2021-06-30,20.64,$0.81,25.49
2021-03-31,17.88,$0.05,357.53
2020-12-31,14.24,$-2.10,0.0
2020-09-30,10.27,$-3.17,0.0
2020-06-30,14.02,$-2.65,0.0
2020-03-31,13.03,$-1.06,0.0
2019-12-31,26.7,$1.36,19.64
2019-09-30,25.45,$2.37,10.74
2019-06-30,24.84,$2.71,9.17
2019-03-31,25.59,$1.87,13.68
2018-12-31,21.87,$1.55,14.11
2018-09-30,30.0,$2.35,12.77
2018-06-30,31.33,$2.12,14.78
2018-03-31,26.42,$1.85,14.28
2017-12-31,27.84,$2.08,13.39
2017-09-30,26.37,$1.66,15.89
2017-06-30,21.81,$1.22,17.87
2017-03-31,22.79,$0.67,34.02
2016-12-31,24.04,$0.18,133.58
2016-09-30,20.29,$-1.09,0.0
2016-06-30,20.09,$-1.47,0.0
2016-03-31,19.99,$-0.70,0.0
2015-12-31,18.38,$-1.02,0.0
2015-09-30,18.89,$0.06,314.82
2015-06-30,19.29,$0.81,23.82
2015-03-31,20.35,$0.53,38.4
2014-12-31,21.94,$1.65,13.3
2014-09-30,24.77,$1.87,13.25
2014-06-30,29.03,$2.40,12.09
2014-03-31,23.67,$2.71,8.74
2013-12-31,23.59,$2.49,9.47
2013-09-30,23.95,$1.85,12.94
2013-06-30,19.63,$1.78,11.03
2013-03-31,19.85,$1.54,12.89
2012-12-31,21.72,$1.79,12.13
2012-09-30,21.55,$3.07,7.02
2012-06-30,18.91,$2.81,6.73
2012-03-31,21.26,$2.94,7.23
2011-12-31,18.69,$2.68,6.97
2011-09-30,16.43,$2.63,6.25
2011-06-30,25.16,$2.52,9.99
2011-03-31,28.78,$2.49,11.56
2010-12-31,24.52,$2.25,10.9
2010-09-30,20.79,$1.66,12.52
2010-06-30,18.74,$1.71,10.96
2010-03-31,20.65,$1.36,15.18
2009-12-31,22.34,$0.75,29.79
