MediWound PE Ratio Historical Data,MediWound PE Ratio Historical Data,MediWound PE Ratio Historical Data,MediWound PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.05,,0.0
2024-12-31,17.8,$-2.71,0.0
2024-09-30,18.06,$-2.90,0.0
2024-06-30,15.52,$-2.16,0.0
2024-03-31,14.25,$-1.38,0.0
2023-12-31,10.17,$-0.77,0.0
2023-09-30,10.64,$-1.76,0.0
2023-06-30,10.66,$-2.43,0.0
2023-03-31,13.32,$-3.44,0.0
2022-12-31,13.49,$-3.84,0.0
2022-09-30,9.73,$-3.71,0.0
2022-06-30,12.88,$-3.64,0.0
2022-03-31,13.93,$-3.57,0.0
2021-12-31,16.52,$-3.43,0.0
2021-09-30,23.38,$-2.80,0.0
2021-06-30,26.81,$-2.45,0.0
2021-03-31,37.59,$-2.38,0.0
2020-12-31,25.9,$-2.31,0.0
2020-09-30,26.32,$-2.80,0.0
2020-06-30,20.79,$-2.38,0.0
2020-03-31,10.99,$1.68,6.54
2019-12-31,21.7,$1.26,17.23
2019-09-30,22.4,$4.90,4.57
2019-06-30,23.66,$4.20,5.64
2019-03-31,35.0,$-0.14,0.0
2018-12-31,28.42,$-0.28,0.0
2018-09-30,43.05,$-3.64,0.0
2018-06-30,48.3,$-6.30,0.0
2018-03-31,36.4,$-6.65,0.0
2017-12-31,31.15,$-6.86,0.0
2017-09-30,37.45,$-6.86,0.0
2017-06-30,47.6,$-5.25,0.0
2017-03-31,46.2,$-6.23,0.0
2016-12-31,32.05,$-6.02,0.0
2016-09-30,53.9,$-7.91,0.0
2016-06-30,55.23,$-7.28,0.0
2016-03-31,56.49,$-6.23,0.0
2015-12-31,59.78,$-7.14,0.0
2015-09-30,53.41,$-6.93,0.0
2015-06-30,49.49,$-7.42,0.0
2015-03-31,50.68,$-8.05,0.0
2014-12-31,46.62,$-6.30,0.0
