MUELLER WATER PRODUCTS PE Ratio Historical Data,MUELLER WATER PRODUCTS PE Ratio Historical Data,MUELLER WATER PRODUCTS PE Ratio Historical Data,MUELLER WATER PRODUCTS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.68,,32.19
2024-12-31,22.5,$0.86,26.16
2024-09-30,21.64,$0.73,29.65
2024-06-30,17.82,$0.78,22.84
2024-03-31,15.94,$0.64,24.91
2023-12-31,14.2,$0.50,28.41
2023-09-30,12.44,$0.55,22.62
2023-06-30,15.86,$0.49,32.36
2023-03-31,13.56,$0.50,27.12
2022-12-31,10.42,$0.51,20.43
2022-09-30,9.89,$0.49,20.19
2022-06-30,11.24,$0.56,20.07
2022-03-31,12.32,$0.48,25.67
2021-12-31,13.67,$0.46,29.73
2021-09-30,14.4,$0.45,32.0
2021-06-30,13.59,$0.50,27.19
2021-03-31,13.04,$0.48,27.18
2020-12-31,11.58,$0.50,23.15
2020-09-30,9.67,$0.45,21.49
2020-06-30,8.74,$0.53,16.48
2020-03-31,7.38,$0.67,11.01
2019-12-31,10.99,$0.59,18.62
2019-09-30,10.26,$0.40,25.65
2019-06-30,8.92,$0.31,28.76
2019-03-31,9.07,$0.20,45.33
2018-12-31,8.18,$0.19,43.04
2018-09-30,10.3,$0.66,15.6
2018-06-30,10.44,$0.62,16.84
2018-03-31,9.64,$0.67,14.39
2017-12-31,11.07,$1.06,10.44
2017-09-30,11.27,$0.76,14.82
2017-06-30,10.25,$0.80,12.81
2017-03-31,10.33,$0.74,13.96
2016-12-31,11.6,$0.39,29.74
2016-09-30,10.91,$0.39,27.96
2016-06-30,9.9,$0.37,26.75
2016-03-31,8.54,$0.38,22.47
2015-12-31,7.41,$0.36,20.6
2015-09-30,6.59,$0.19,34.68
2015-06-30,7.81,$0.21,37.19
2015-03-31,8.44,$0.22,38.35
2014-12-31,8.75,$0.20,43.77
2014-09-30,7.07,$0.34,20.78
2014-06-30,7.36,$0.26,28.3
2014-03-31,8.07,$0.24,33.64
2013-12-31,7.95,$0.22,36.12
2013-09-30,6.76,$0.25,27.05
2013-06-30,5.84,$0.20,29.18
2013-03-31,5.0,$0.17,29.39
2012-12-31,4.71,$-0.57,0.0
2012-09-30,4.1,$-0.69,0.0
2012-06-30,2.88,$-0.77,0.0
2012-03-31,2.76,$-0.85,0.0
2011-12-31,2.01,$-0.24,0.0
2011-09-30,2.03,$-0.24,0.0
2011-06-30,3.23,$-0.24,0.0
2011-03-31,3.62,$-0.24,0.0
2010-12-31,3.36,$-0.30,0.0
2010-09-30,2.42,$-0.29,0.0
2010-06-30,2.95,$-0.33,0.0
2010-03-31,3.79,$-0.47,0.0
2009-12-31,4.11,$-5.22,0.0
