Comstock PE Ratio Historical Data,Comstock PE Ratio Historical Data,Comstock PE Ratio Historical Data,Comstock PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.52,,0.0
2024-12-31,0.8,$-2.00,0.0
2024-09-30,0.47,$-1.20,0.0
2024-06-30,0.16,$0.70,0.23
2024-03-31,0.36,$0.80,0.45
2023-12-31,0.55,$0.80,0.69
2023-09-30,0.41,$-2.60,0.0
2023-06-30,0.73,$-4.40,0.0
2023-03-31,0.34,$-5.90,0.0
2022-12-31,0.28,$-6.20,0.0
2022-09-30,0.42,$-6.80,0.0
2022-06-30,0.62,$-7.80,0.0
2022-03-31,1.67,$-7.30,0.0
2021-12-31,1.29,$-4.20,0.0
2021-09-30,2.67,$-2.40,0.0
2021-06-30,3.63,$4.70,0.77
2021-03-31,4.58,$6.70,0.68
2020-12-31,1.04,$4.00,0.26
2020-09-30,1.08,$5.40,0.2
2020-06-30,0.95,0,0.0
2020-03-31,0.41,$-2.00,0.0
2019-12-31,0.44,$-2.50,0.0
2019-09-30,0.53,$-4.00,0.0
2019-06-30,0.95,$-5.50,0.0
2019-03-31,1.05,$-6.00,0.0
2018-12-31,0.67,$-7.50,0.0
2018-09-30,0.7,$-8.50,0.0
2018-06-30,1.3,$-9.50,0.0
2018-03-31,1.25,$-12.50,0.0
2017-12-31,1.95,$-12.50,0.0
2017-09-30,3.9,$-15.00,0.0
2017-06-30,4.57,$-15.00,0.0
2017-03-31,5.6,$-15.00,0.0
2016-12-31,6.58,$-17.50,0.0
2016-09-30,9.24,$-25.00,0.0
2016-06-30,8.72,$-40.00,0.0
2016-03-31,9.25,$-42.50,0.0
2015-12-31,10.0,$-35.00,0.0
2015-09-30,15.25,$-27.50,0.0
2015-06-30,14.63,$-15.00,0.0
2015-03-31,15.0,$-22.50,0.0
2014-12-31,19.0,$-42.50,0.0
2014-09-30,30.25,$-60.00,0.0
2014-06-30,41.75,$-77.50,0.0
2014-03-31,41.25,$-90.00,0.0
2013-12-31,43.75,$-105.00,0.0
2013-09-30,45.0,$-115.00,0.0
2013-06-30,41.25,$-152.50,0.0
2013-03-31,50.25,$-190.00,0.0
2012-12-31,57.0,$-217.50,0.0
2012-09-30,81.75,$-215.00,0.0
2012-06-30,61.75,$-185.00,0.0
2012-03-31,49.0,$-185.00,0.0
2011-12-31,46.0,$-167.50,0.0
2011-09-30,50.0,$545.00,0.09
2011-06-30,77.5,$462.50,0.17
