CorVel PE Ratio Historical Data,CorVel PE Ratio Historical Data,CorVel PE Ratio Historical Data,CorVel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,107.32,,63.13
2024-12-31,111.26,$1.70,65.45
2024-09-30,326.89,$1.57,208.21
2024-06-30,254.27,$1.50,169.14
2024-03-31,262.96,$1.47,179.3
2023-12-31,247.21,$1.44,171.67
2023-09-30,196.65,$1.43,137.52
2023-06-30,193.5,$1.32,146.21
2023-03-31,190.28,$1.26,151.41
2022-12-31,145.33,$1.27,114.14
2022-09-30,138.43,$1.21,114.73
2022-06-30,147.27,$1.22,120.4
2022-03-31,168.44,$1.22,138.45
2021-12-31,208.0,$1.12,185.17
2021-09-30,186.22,$1.08,172.43
2021-06-30,134.3,$1.00,133.84
2021-03-31,102.59,$0.85,120.69
2020-12-31,106.0,$0.79,133.62
2020-09-30,85.43,$0.75,113.91
2020-06-30,70.89,$0.76,92.87
2020-03-31,54.51,$0.85,64.38
2019-12-31,87.36,$0.84,103.58
2019-09-30,75.7,$0.86,88.36
2019-06-30,87.01,$0.85,102.36
2019-03-31,65.24,$0.82,79.56
2018-12-31,61.72,$0.77,80.5
2018-09-30,60.25,$0.75,79.97
2018-06-30,54.0,$0.68,79.79
2018-03-31,50.55,$0.62,81.09
2017-12-31,52.9,$0.61,87.19
2017-09-30,54.4,$0.56,97.14
2017-06-30,47.45,$0.53,89.53
2017-03-31,43.5,$0.50,86.41
2016-12-31,36.6,$0.48,76.78
2016-09-30,38.4,$0.47,81.7
2016-06-30,43.18,$0.49,88.12
2016-03-31,39.42,$0.48,82.71
2015-12-31,43.92,$0.45,96.89
2015-09-30,32.3,$0.45,71.78
2015-06-30,32.02,$0.44,73.34
2015-03-31,34.41,$0.45,75.91
2014-12-31,37.22,$0.49,75.45
2014-09-30,34.05,$0.52,65.48
2014-06-30,45.18,$0.53,84.7
2014-03-31,49.76,$0.54,92.71
2013-12-31,46.7,$0.52,89.22
2013-09-30,36.97,$0.48,77.83
2013-06-30,29.27,$0.44,67.29
2013-03-31,24.75,$0.40,62.11
2012-12-31,22.42,$0.36,63.14
2012-09-30,22.38,$0.35,64.86
2012-06-30,24.5,$0.36,67.75
2012-03-31,19.95,$0.38,52.27
2011-12-31,25.86,$0.35,74.94
2011-09-30,21.25,$0.36,59.03
2011-06-30,23.45,$0.35,67.0
2011-03-31,26.59,$0.34,78.21
2010-12-31,24.18,$0.39,61.47
2010-09-30,21.23,$0.39,54.42
2010-06-30,16.9,$0.37,45.66
2010-03-31,17.88,$0.35,51.81
2009-12-31,16.77,$0.31,54.1
