Ponce Financial PE Ratio Historical Data,Ponce Financial PE Ratio Historical Data,Ponce Financial PE Ratio Historical Data,Ponce Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.9,,36.86
2024-12-31,13.0,$0.35,37.14
2024-09-30,11.69,$0.37,31.59
2024-06-30,9.14,$0.39,23.44
2024-03-31,8.9,$0.25,35.6
2023-12-31,9.76,$0.15,65.07
2023-09-30,7.82,$-0.27,0.0
2023-06-30,8.69,$-1.03,0.0
2023-03-31,7.85,$-1.00,0.0
2022-12-31,9.32,$-1.32,0.0
2022-09-30,9.16,$-0.03,0.0
2022-06-30,9.24,$0.73,12.66
2022-03-31,10.38,$1.05,9.89
2021-12-31,14.5,$1.51,9.6
2021-09-30,14.41,$0.72,20.01
2021-06-30,13.66,$0.84,16.26
2021-03-31,11.11,$0.46,24.15
2020-12-31,10.51,$0.24,43.79
2020-09-30,8.82,$-0.29,0.0
2020-06-30,10.18,$-0.49,0.0
2020-03-31,10.27,$-0.41,0.0
2019-12-31,14.7,$-0.30,0.0
2019-09-30,14.06,$0.17,82.71
2019-06-30,14.29,$0.15,95.27
2019-03-31,13.95,$0.14,99.64
2018-12-31,12.74,$0.15,84.93
2018-09-30,15.11,$-0.05,0.0
