Galena Biopharma PE Ratio Historical Data,Galena Biopharma PE Ratio Historical Data,Galena Biopharma PE Ratio Historical Data,Galena Biopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.21,,0.0
2024-09-30,1.25,$-0.69,0.0
2024-06-30,1.19,$-0.92,0.0
2024-03-31,1.01,$-1.10,0.0
2023-12-31,1.06,$-1.36,0.0
2023-09-30,1.64,$-1.54,0.0
2023-06-30,1.57,$-1.55,0.0
2023-03-31,1.43,$-1.65,0.0
2022-12-31,2.36,$-2.23,0.0
2022-09-30,2.02,$-2.22,0.0
2022-06-30,2.23,$-2.33,0.0
2022-03-31,6.68,$-2.22,0.0
2021-12-31,5.53,$-1.33,0.0
2021-09-30,9.16,$-1.19,0.0
2021-06-30,11.1,$-1.27,0.0
2021-03-31,8.54,$-1.63,0.0
2020-12-31,5.81,$-2.13,0.0
2020-09-30,2.65,$-1.85,0.0
2020-06-30,2.93,$-4.00,0.0
2020-03-31,1.73,$-9.84,0.0
2019-12-31,4.3,$-20.18,0.0
2019-09-30,6.05,$-40.68,0.0
2019-06-30,5.63,$-64.50,0.0
2019-03-31,51.0,$-121.00,0.0
2018-12-31,61.5,$-193.50,0.0
2018-09-30,61.0,$-173.00,0.0
2018-06-30,171.0,$-371.73,0.0
2018-03-31,172.5,$-639.06,0.0
2017-12-31,393.0,"$-1,231.23",0.0
2017-09-30,528.9,"$-1,966.97",0.0
2017-06-30,871.5,"$-2,642.64",0.0
2017-03-31,915.0,"$-1,411.41",0.0
2016-12-31,2910.0,"$-3,438.44",0.0
2016-09-30,10509.01,"$-6,306.31",0.0
2016-06-30,13983.01,"$-8,708.71",0.0
2016-03-31,40800.04,"$-12,612.61",0.0
2015-12-31,44100.04,"$-12,312.31",0.0
2015-09-30,47400.05,"$-10,510.51",0.0
2015-06-30,51000.05,"$-8,708.71",0.0
2015-03-31,41700.04,"$-10,810.81",0.0
2014-12-31,45300.05,"$-9,009.01",0.0
2014-09-30,61800.06,"$-21,021.02",0.0
2014-06-30,91800.09,"$-22,822.82",0.0
2014-03-31,75000.08,"$-21,021.02",0.0
2013-12-31,148800.15,"$-23,723.72",0.0
2013-09-30,68400.07,"$-9,909.91",0.0
2013-06-30,66600.07,"$-9,309.31",0.0
2013-03-31,63000.06,"$-6,006.01",0.0
2012-12-31,45900.05,"$-18,318.31",0.0
2012-09-30,53400.05,"$-17,117.11",0.0
2012-06-30,49500.05,"$-18,318.31",0.0
2012-03-31,66600.07,"$-19,519.51",0.0
2011-12-31,14070.01,"$-9,609.61",0.0
2011-09-30,30300.03,"$-13,813.81",0.0
2011-06-30,29400.03,"$-16,816.82",0.0
2011-03-31,41400.04,"$-19,219.22",0.0
2010-12-31,77400.08,"$-20,720.72",0.0
2010-09-30,85500.09,"$-29,129.13",0.0
2010-06-30,78000.08,"$-27,927.93",0.0
2010-03-31,136800.14,"$-35,435.43",0.0
2009-12-31,137400.14,"$-37,237.24",0.0
