Cambium Networks PE Ratio Historical Data,Cambium Networks PE Ratio Historical Data,Cambium Networks PE Ratio Historical Data,Cambium Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.76,,0.0
2024-09-30,1.83,$-3.03,0.0
2024-06-30,2.79,$-3.64,0.0
2024-03-31,4.31,$-3.41,0.0
2023-12-31,6.0,$-2.31,0.0
2023-09-30,7.33,$-0.55,0.0
2023-06-30,15.22,$0.74,20.57
2023-03-31,17.72,$0.92,19.26
2022-12-31,21.67,$0.71,30.52
2022-09-30,16.92,$0.41,41.27
2022-06-30,14.65,$0.23,63.7
2022-03-31,23.64,$0.55,42.98
2021-12-31,25.63,$1.31,19.56
2021-09-30,36.19,$1.64,22.07
2021-06-30,48.35,$1.69,28.61
2021-03-31,46.72,$1.42,32.9
2020-12-31,25.08,$0.69,36.35
2020-09-30,16.87,$0.27,62.48
2020-06-30,7.36,$0.14,52.57
2020-03-31,5.6,$-1.46,0.0
