Modular Medical PE Ratio Historical Data,Modular Medical PE Ratio Historical Data,Modular Medical PE Ratio Historical Data,Modular Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.05,,0.0
2024-12-31,1.37,$-0.53,0.0
2024-09-30,2.25,$-0.63,0.0
2024-06-30,1.58,$-0.68,0.0
2024-03-31,1.85,$-0.78,0.0
2023-12-31,1.82,$-0.97,0.0
2023-09-30,1.16,$-1.05,0.0
2023-06-30,0.98,$-1.18,0.0
2023-03-31,1.45,$-1.29,0.0
2022-12-31,2.0,$-1.48,0.0
