Organigram Holdings PE Ratio Historical Data,Organigram Holdings PE Ratio Historical Data,Organigram Holdings PE Ratio Historical Data,Organigram Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.06,,0.0
2024-12-31,1.61,$-0.38,0.0
2024-09-30,1.81,$-0.38,0.0
2024-06-30,1.54,$-0.42,0.0
2024-03-31,2.15,$-0.44,0.0
2023-12-31,1.31,$-0.22,0.0
2023-09-30,1.32,$-0.08,0.0
2023-05-31,1.48,0,0.0
2023-02-28,3.16,0,0.0
2022-11-30,4.12,0,0.0
2022-08-31,4.28,0,0.0
2022-05-31,4.6,0,0.0
2022-02-28,5.96,0,0.0
2021-11-30,8.16,0,0.0
2021-08-31,10.68,0,0.0
2021-05-31,12.84,0,0.0
2021-02-28,12.12,0,0.0
2020-11-30,5.64,0,0.0
2020-08-31,5.04,0,0.0
2020-05-31,6.96,0,0.0
2020-02-29,8.8,0,0.0
