United Dominion Realty Trust PE Ratio Historical Data,United Dominion Realty Trust PE Ratio Historical Data,United Dominion Realty Trust PE Ratio Historical Data,United Dominion Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.64,,174.56
2024-12-31,43.41,$0.25,173.64
2024-09-30,44.9,$0.37,121.35
2024-06-30,40.33,$0.41,98.36
2024-03-31,36.26,$1.38,26.27
2023-12-31,36.71,$1.34,27.39
2023-09-30,33.8,$1.37,24.67
2023-06-30,40.31,$1.34,30.08
2023-03-31,38.13,$0.30,127.1
2022-12-31,35.62,$0.25,142.47
2022-09-30,37.98,$0.49,77.51
2022-06-30,41.57,$0.48,86.6
2022-03-31,51.47,$0.51,100.91
2021-12-31,53.48,$0.48,111.42
2021-09-30,46.92,$0.20,234.58
2021-06-30,43.07,$0.05,861.47
2021-03-31,38.26,$0.20,191.28
2020-12-31,33.2,$0.20,166.0
2020-09-30,27.89,$0.44,63.39
2020-06-30,31.65,$0.62,51.05
2020-03-31,30.66,$0.55,55.74
2019-12-31,38.89,$0.62,62.72
2019-09-30,40.09,$0.59,67.95
2019-06-30,36.85,$0.57,64.65
2019-03-31,37.04,$0.52,71.22
2018-12-31,32.01,$0.74,43.26
2018-09-30,32.41,$0.69,46.97
2018-06-30,29.83,$0.68,43.87
2018-03-31,28.05,$0.64,43.84
2017-12-31,30.09,$0.43,69.97
2017-09-30,29.46,$1.06,27.8
2017-06-30,29.95,$1.10,27.23
2017-03-31,27.63,$1.13,24.45
2016-12-31,27.57,$1.08,25.53
2016-09-30,26.97,$0.81,33.29
2016-06-30,27.44,$0.76,36.11
2016-03-31,28.42,$1.03,27.59
2015-12-31,27.5,$1.27,21.65
2015-09-30,25.04,$0.91,27.52
2015-06-30,23.07,$1.02,22.61
2015-03-31,24.3,$0.81,30.0
2014-12-31,21.83,$0.60,36.39
2014-09-30,19.12,$0.49,39.03
2014-06-30,19.91,$0.34,58.56
2014-03-31,17.78,$0.24,74.09
2013-12-31,15.91,$0.17,93.62
2013-09-30,15.99,$-0.02,0.0
2013-06-30,17.03,$-0.07,0.0
2013-03-31,16.01,$0.53,30.21
2012-12-31,15.6,$0.89,17.52
2012-09-30,15.99,$1.14,14.02
2012-06-30,16.5,$1.11,14.87
2012-03-31,16.92,$0.55,30.76
2011-12-31,15.76,$0.02,787.88
2011-09-30,13.78,$-0.35,0.0
2011-06-30,15.16,$-0.44,0.0
2011-03-31,14.93,$-0.68,0.0
2010-12-31,14.29,$-0.68,0.0
2010-09-30,12.72,$-0.67,0.0
2010-06-30,11.42,$-0.78,0.0
2010-03-31,10.43,$-0.70,0.0
2009-12-31,9.61,$-0.63,0.0
