Checkpoint Therapeutics PE Ratio Historical Data,Checkpoint Therapeutics PE Ratio Historical Data,Checkpoint Therapeutics PE Ratio Historical Data,Checkpoint Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.06,,0.0
2024-09-30,2.24,$-1.84,0.0
2024-06-30,2.15,$-1.90,0.0
2024-03-31,2.05,$-2.77,0.0
2023-12-31,2.29,$-3.33,0.0
2023-09-30,1.7,$-2.23,0.0
2023-06-30,2.47,$-3.14,0.0
2023-03-31,2.25,$-3.69,0.0
2022-12-31,5.11,$-4.80,0.0
2022-09-30,10.4,$-8.70,0.0
2022-06-30,10.3,$-8.90,0.0
2022-03-31,17.7,$-8.50,0.0
2021-12-31,31.1,$-7.40,0.0
2021-09-30,33.0,$-5.20,0.0
2021-06-30,29.5,$-4.70,0.0
2021-03-31,31.4,$-4.40,0.0
2020-12-31,26.5,$-4.10,0.0
2020-09-30,26.8,$-4.60,0.0
2020-06-30,19.8,$-5.20,0.0
2020-03-31,15.1,$-5.80,0.0
2019-12-31,17.2,$-7.00,0.0
2019-09-30,24.9,$-8.60,0.0
2019-06-30,30.3,$-10.30,0.0
2019-03-31,28.6,$-11.10,0.0
2018-12-31,18.2,$-12.80,0.0
2018-09-30,35.75,$-11.60,0.0
2018-06-30,29.8,$-11.00,0.0
2018-03-31,43.9,$-11.50,0.0
