Espey Mfg & Electronics PE Ratio Historical Data,Espey Mfg & Electronics PE Ratio Historical Data,Espey Mfg & Electronics PE Ratio Historical Data,Espey Mfg & Electronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.65,,10.88
2024-12-31,30.15,$2.45,12.31
2024-09-30,30.09,$2.46,12.23
2024-06-30,21.03,$2.29,9.18
2024-03-31,24.78,$1.92,12.91
2023-12-31,18.23,$1.87,9.75
2023-09-30,15.61,$1.62,9.64
2023-06-30,16.04,$1.49,10.76
2023-03-31,19.29,$1.24,15.55
2022-12-31,13.45,$1.16,11.6
2022-09-30,13.07,$0.70,18.67
2022-06-30,13.49,$0.52,25.95
2022-03-31,13.17,$0.77,17.1
2021-12-31,13.46,$0.06,224.39
2021-09-30,13.79,$-0.03,0.0
2021-06-30,14.04,$-0.08,0.0
2021-03-31,14.4,$-0.04,0.0
2020-12-31,17.92,$0.36,49.78
2020-09-30,17.55,$0.54,32.5
2020-06-30,16.0,$0.49,32.65
2020-03-31,16.53,$0.56,29.52
2019-12-31,19.41,$0.99,19.61
2019-09-30,21.07,$0.98,21.5
2019-06-30,21.76,$0.98,22.2
2019-03-31,21.54,$0.80,26.93
2018-12-31,21.47,$0.55,39.04
2018-09-30,25.49,$1.15,22.17
2018-06-30,22.0,$1.31,16.79
2018-03-31,21.28,$1.10,19.34
2017-12-31,19.28,$1.08,17.85
2017-09-30,17.91,$0.50,35.81
2017-06-30,17.64,$0.49,36.01
2017-03-31,17.9,$0.71,25.22
2016-12-31,20.08,$1.02,19.68
2016-09-30,19.28,$1.18,16.34
2016-06-30,19.66,$1.38,14.25
2016-03-31,18.41,$1.31,14.05
2015-12-31,19.08,$1.10,17.35
2015-09-30,18.02,$1.37,13.15
2015-06-30,18.89,$1.39,13.59
2015-03-31,21.31,$0.85,25.07
2014-12-31,16.98,$0.94,18.07
2014-09-30,14.21,$0.45,31.57
2014-06-30,17.54,$0.51,34.38
2014-03-31,18.84,$1.84,10.24
2013-12-31,22.37,$1.94,11.53
2013-09-30,18.88,$2.37,7.97
2013-06-30,16.81,$2.48,6.78
2013-03-31,16.78,$1.97,8.52
2012-12-31,16.17,$2.14,7.56
2012-09-30,16.09,$2.15,7.48
2012-06-30,16.0,$2.00,8.0
2012-03-31,14.86,$2.15,6.91
2011-12-31,13.87,$2.03,6.83
2011-09-30,13.12,$1.84,7.13
2011-06-30,13.84,$1.77,7.82
2011-03-31,13.88,$1.69,8.21
2010-12-31,13.1,$1.61,8.14
2010-09-30,11.32,$1.55,7.3
2010-06-30,9.77,$1.67,5.85
2010-03-31,10.29,$1.85,5.56
2009-12-31,9.68,$1.84,5.26
