AvidXchange Holdings PE Ratio Historical Data,AvidXchange Holdings PE Ratio Historical Data,AvidXchange Holdings PE Ratio Historical Data,AvidXchange Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.46,,211.5
2024-12-31,10.34,$0.04,258.5
2024-09-30,8.11,0,0.0
2024-06-30,12.06,$-0.06,0.0
2024-03-31,13.15,$-0.15,0.0
2023-12-31,12.39,$-0.23,0.0
2023-09-30,9.48,$-0.34,0.0
2023-06-30,10.38,$-0.43,0.0
2023-03-31,7.8,$-0.47,0.0
2022-12-31,9.94,$-0.52,0.0
2022-09-30,8.42,$-0.86,0.0
