REX American Resources PE Ratio Historical Data,REX American Resources PE Ratio Historical Data,REX American Resources PE Ratio Historical Data,REX American Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.66,,9.6
2024-10-31,44.73,$3.82,11.71
2024-07-31,50.81,$3.93,12.93
2024-04-30,55.33,$3.75,14.75
2024-01-31,41.39,$3.47,11.93
2023-10-31,38.01,$2.78,13.67
2023-07-31,37.02,$1.47,25.18
2023-04-30,28.29,$1.58,17.91
2023-01-31,32.72,$1.57,20.84
2022-10-31,29.99,$2.30,13.02
2022-07-31,31.82,$2.98,10.69
2022-04-30,28.21,$2.78,10.14
2022-01-31,32.14,$2.93,10.98
2021-10-31,29.32,$1.92,15.27
2021-07-31,27.33,$1.55,17.67
2021-04-30,26.91,$1.02,26.47
2021-01-31,25.5,$0.18,141.59
2020-10-31,24.23,$0.22,111.81
2020-07-31,22.72,$-0.37,0.0
2020-04-30,19.83,$-0.16,0.0
2020-01-31,25.12,$0.40,63.33
2019-10-31,26.97,$0.22,122.61
2019-07-31,24.87,$0.95,26.27
2019-04-30,28.17,$1.30,21.61
2019-01-31,24.31,$1.64,14.85
2018-10-31,24.72,$2.54,9.72
2018-07-31,25.67,$2.59,9.91
2018-04-30,24.93,$2.26,11.01
2018-01-31,27.22,$2.01,13.54
2017-10-31,29.39,$1.67,17.57
2017-07-31,33.33,$1.46,22.83
2017-04-30,31.56,$1.72,18.31
2017-01-31,27.68,$1.64,16.91
2016-10-31,26.33,$1.19,22.13
2016-07-31,21.93,$1.10,20.0
2016-04-30,18.12,$1.40,12.91
2016-01-31,17.81,$1.43,12.48
2015-10-31,18.3,$2.10,8.73
2015-07-31,17.21,$2.69,6.4
2015-04-30,21.07,$2.86,7.36
2015-01-31,18.5,$3.59,5.16
2014-10-31,24.25,$3.39,7.16
2014-07-31,28.12,$2.84,9.91
2014-04-30,21.79,$2.18,9.99
2014-01-31,13.65,$1.43,9.53
2013-10-31,9.61,$0.60,15.93
2013-07-31,12.13,$0.22,55.98
2013-04-30,6.23,$0.01,468.42
2013-01-31,7.28,$-0.09,0.0
2012-10-31,5.87,$0.67,8.72
2012-07-31,5.88,$0.89,6.61
2012-04-30,9.25,$0.94,9.84
2012-01-31,8.57,$1.07,8.03
2011-10-31,6.08,$0.32,19.2
2011-07-31,5.74,$0.23,24.97
2011-04-30,5.76,$0.19,30.85
2011-01-31,5.02,$0.16,30.72
2010-10-31,5.53,$0.58,9.59
2010-07-31,5.35,$0.51,10.49
2010-04-30,5.72,$0.50,11.44
2010-01-31,5.03,$0.30,16.96
2009-10-31,4.12,$-0.14,0.0
