Saratoga Investment Corp PE Ratio Historical Data,Saratoga Investment Corp PE Ratio Historical Data,Saratoga Investment Corp PE Ratio Historical Data,Saratoga Investment Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.44,,9.85
2024-11-30,24.58,$2.48,9.91
2024-08-31,21.85,$1.53,14.28
2024-05-31,21.33,$1.21,17.63
2024-02-29,20.57,$0.71,28.97
2023-11-30,22.23,$1.94,11.46
2023-08-31,21.34,$2.76,7.73
2023-05-31,22.61,$2.19,10.33
2023-02-28,21.56,$2.09,10.32
2022-11-30,20.1,$1.17,17.18
2022-08-31,18.12,$1.39,13.04
2022-05-31,19.41,$2.02,9.61
2022-02-28,19.69,$4.02,4.9
2021-11-30,20.34,$4.15,4.9
2021-08-31,19.83,$3.99,4.97
2021-05-31,17.36,$5.23,3.32
2021-02-28,15.42,$1.33,11.6
2020-11-30,14.52,$2.89,5.02
2020-08-31,11.01,$3.69,2.98
2020-05-31,9.53,$2.65,3.59
2020-02-29,14.38,$5.66,2.54
2019-11-30,15.43,$4.31,3.58
2019-08-31,15.13,$3.43,4.41
2019-05-31,14.5,$2.97,4.88
2019-02-28,13.24,$2.59,5.11
2018-11-30,12.37,$2.44,5.07
2018-08-31,13.64,$2.66,5.13
2018-05-31,12.25,$3.36,3.65
2018-02-28,11.48,$2.92,3.93
2017-11-30,11.46,$2.25,5.09
2017-08-31,11.03,$1.81,6.09
2017-05-31,10.88,$1.58,6.89
2017-02-28,10.97,$1.98,5.54
2016-11-30,9.53,$1.69,5.64
2016-08-31,8.27,$2.03,4.07
2016-05-31,7.29,$1.33,5.48
2016-02-29,6.17,$2.12,2.91
2015-11-30,6.59,$2.69,2.45
2015-08-31,6.73,$2.72,2.47
2015-05-31,7.05,$3.08,2.29
2015-02-28,5.93,$2.05,2.89
2014-11-30,5.63,$2.24,2.51
2014-08-31,5.89,$1.86,3.17
2014-05-31,5.55,$1.27,4.37
2014-02-28,5.81,$1.74,3.34
2013-11-30,5.73,$2.35,2.44
2013-08-31,5.83,$2.28,2.55
2013-05-31,5.73,$3.55,1.61
2013-02-28,5.41,$3.57,1.52
2012-11-30,4.99,$3.06,1.63
2012-08-31,4.12,$4.75,0.87
2012-05-31,4.33,$2.96,1.46
2012-02-29,3.97,$3.88,1.02
2011-11-30,3.09,$4.40,0.7
2011-08-31,3.39,$3.72,0.91
2011-05-31,4.21,$7.52,0.56
2011-02-28,4.31,$7.38,0.58
2010-11-30,3.57,$0.87,4.1
2010-08-31,3.64,$0.67,5.43
2010-05-31,3.32,$-22.00,0.0
2010-02-28,3.73,$-17.10,0.0
2009-11-30,4.19,$-7.90,0.0
