Franklin Street Properties PE Ratio Historical Data,Franklin Street Properties PE Ratio Historical Data,Franklin Street Properties PE Ratio Historical Data,Franklin Street Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.83,,0.0
2024-12-31,1.83,$-0.50,0.0
2024-09-30,1.76,$-0.39,0.0
2024-06-30,1.51,$-0.68,0.0
2024-03-31,2.23,$-0.56,0.0
2023-12-31,2.51,$-0.47,0.0
2023-09-30,1.8,$-0.53,0.0
2023-06-30,1.4,$0.08,17.53
2023-03-31,1.51,$0.07,21.52
2022-12-31,2.61,$0.01,261.1
2022-09-30,2.51,$0.79,3.17
2022-06-30,3.96,$0.66,6.0
2022-03-31,5.52,$0.90,6.13
2021-12-31,5.47,$0.88,6.22
2021-09-30,3.98,$0.48,8.29
2021-06-30,4.43,$0.42,10.55
2021-03-31,4.52,$0.25,18.08
2020-12-31,3.55,$0.30,11.83
2020-09-30,2.91,$-0.02,0.0
2020-06-30,3.97,$0.02,198.57
2020-03-31,4.4,$0.06,73.28
2019-12-31,6.49,$0.06,108.24
2019-09-30,6.35,$0.04,158.8
2019-06-30,5.48,$0.11,49.78
2019-03-31,5.27,$0.10,52.74
2018-12-31,4.51,$0.12,37.59
2018-09-30,5.71,$0.06,95.23
2018-06-30,6.06,$-0.01,0.0
2018-03-31,5.88,$-0.18,0.0
2017-12-31,7.38,$-0.15,0.0
2017-09-30,7.16,$-0.08,0.0
2017-06-30,7.34,$-0.08,0.0
2017-03-31,7.92,$0.10,79.23
2016-12-31,8.33,$0.09,92.61
2016-09-30,7.98,$0.22,36.25
2016-06-30,7.65,$0.23,33.26
2016-03-31,6.5,$0.25,26.0
2015-12-31,6.22,$0.35,17.76
2015-09-30,6.35,$0.24,26.46
2015-06-30,6.57,$0.23,28.59
2015-03-31,7.34,$0.23,31.92
2014-12-31,6.92,$0.14,49.46
2014-09-30,6.23,$0.17,36.65
2014-06-30,6.88,$0.19,36.22
2014-03-31,6.79,$0.20,33.93
2013-12-31,6.34,$0.21,30.17
2013-09-30,6.66,$0.21,31.72
2013-06-30,6.81,$0.06,113.47
2013-03-31,7.45,$0.08,93.07
2012-12-31,6.18,$0.10,61.79
2012-09-30,5.46,$0.09,60.7
2012-06-30,5.13,$0.24,21.36
2012-03-31,5.04,$0.30,16.8
2011-12-31,4.65,$0.53,8.77
2011-09-30,5.2,$0.54,9.63
2011-06-30,5.85,$0.56,10.44
2011-03-31,6.29,$0.50,12.57
2010-12-31,6.28,$0.27,23.28
2010-09-30,5.4,$0.30,18.0
2010-06-30,5.06,$0.34,14.88
2010-03-31,6.1,$0.34,17.95
2009-12-31,6.09,$0.38,16.02
