KOREs PE Ratio Historical Data,KOREs PE Ratio Historical Data,KOREs PE Ratio Historical Data,KOREs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.5,,0.0
2024-09-30,2.26,$-7.06,0.0
2024-06-30,0.42,$-11.56,0.0
2024-03-31,0.79,$-9.40,0.0
2023-12-31,0.98,$-9.65,0.0
2023-09-30,0.61,$-12.40,0.0
2023-06-30,1.22,$-7.75,0.0
2023-03-31,1.22,$-7.30,0.0
2022-12-31,1.26,$-6.85,0.0
2022-09-30,1.91,$-3.20,0.0
2022-06-30,3.07,$-3.70,0.0
2022-03-31,6.0,$-2.95,0.0
2021-12-31,6.74,$-2.20,0.0
2021-09-30,7.81,$-1.35,0.0
