Associated Capital PE Ratio Historical Data,Associated Capital PE Ratio Historical Data,Associated Capital PE Ratio Historical Data,Associated Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,35.97,,19.24
2024-12-31,34.26,$1.87,18.32
2024-09-30,33.6,$2.63,12.77
2024-06-30,32.27,$1.54,20.95
2024-03-31,30.93,$1.55,19.96
2023-12-31,33.77,$1.72,19.63
2023-09-30,34.42,$1.58,21.78
2023-06-30,33.38,$0.83,40.21
2023-03-31,34.74,$-0.68,0.0
2022-12-31,39.48,$-2.22,0.0
2022-09-30,34.48,$-2.41,0.0
2022-06-30,33.61,$-1.59,0.0
2022-03-31,39.2,$1.11,35.32
2021-12-31,40.22,$2.67,15.06
2021-09-30,34.9,$4.53,7.71
2021-06-30,36.26,$4.72,7.68
2021-03-31,33.37,$4.95,6.74
2020-12-31,32.68,$0.85,38.45
2020-09-30,33.53,$-0.95,0.0
2020-06-30,34.05,$-0.95,0.0
2020-03-31,28.32,$-2.56,0.0
2019-12-31,36.28,$1.73,20.97
2019-09-30,32.86,$-0.53,0.0
2019-06-30,34.53,$-1.11,0.0
2019-03-31,36.42,$-0.56,0.0
2018-12-31,32.44,$-2.53,0.0
2018-09-30,39.06,$-0.09,0.0
2018-06-30,34.84,$0.29,120.14
2018-03-31,34.29,$-0.03,0.0
2017-12-31,31.23,$0.37,84.4
2017-09-30,32.6,$-0.15,0.0
2017-06-30,31.04,$-0.05,0.0
2017-03-31,32.91,$-0.20,0.0
2016-12-31,29.81,$0.41,72.71
2016-09-30,32.18,$0.43,74.84
