Byline Bancorp PE Ratio Historical Data,Byline Bancorp PE Ratio Historical Data,Byline Bancorp PE Ratio Historical Data,Byline Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.7,,9.67
2024-12-31,29.0,$2.76,10.51
2024-09-30,26.68,$2.75,9.7
2024-06-30,23.58,$2.71,8.7
2024-03-31,21.49,$2.73,7.87
2023-12-31,23.21,$2.67,8.69
2023-09-30,19.33,$2.64,7.32
2023-06-30,17.67,$2.60,6.8
2023-03-31,21.01,$2.44,8.61
2022-12-31,22.25,$2.38,9.35
2022-09-30,19.54,$2.18,8.96
2022-06-30,22.87,$2.23,10.26
2022-03-31,25.54,$2.42,10.55
2021-12-31,26.09,$2.40,10.87
2021-09-30,23.36,$2.26,10.33
2021-06-30,21.44,$1.94,11.05
2021-03-31,19.99,$1.45,13.78
2020-12-31,14.55,$0.96,15.16
2020-09-30,10.61,$1.06,10.01
2020-06-30,12.28,$1.11,11.07
2020-03-31,9.7,$1.21,8.02
2019-12-31,18.24,$1.48,12.33
2019-09-30,16.64,$1.53,10.88
2019-06-30,17.8,$1.53,11.63
2019-03-31,17.2,$1.27,13.54
2018-12-31,15.51,$1.15,13.48
2018-09-30,21.13,$0.66,32.01
2018-06-30,20.79,$0.59,35.24
2018-03-31,21.34,$0.33,64.68
