MSC Industrial Direct PE Ratio Historical Data,MSC Industrial Direct PE Ratio Historical Data,MSC Industrial Direct PE Ratio Historical Data,MSC Industrial Direct PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,78.19,,18.66
2024-11-30,85.88,$4.19,20.5
2024-08-31,81.45,$4.58,17.78
2024-05-31,84.15,$5.15,16.34
2024-02-29,98.02,$5.57,17.6
2023-11-30,93.79,$5.88,15.95
2023-08-31,97.43,$6.11,15.95
2023-05-31,85.15,$6.41,13.28
2023-02-28,79.3,$6.50,12.2
2022-11-30,79.73,$6.34,12.58
2022-08-31,72.89,$6.07,12.01
2022-05-31,77.37,$5.39,14.35
2022-02-28,69.97,$5.29,13.23
2021-11-30,70.43,$4.36,16.15
2021-08-31,74.7,$3.87,19.3
2021-05-31,83.06,$3.63,22.88
2021-02-28,75.15,$3.35,22.43
2020-11-30,72.04,$4.03,17.88
2020-08-31,54.16,$4.52,11.98
2020-05-31,56.34,$4.78,11.79
2020-02-29,49.58,$4.82,10.29
2019-11-30,54.48,$5.06,10.77
2019-08-31,49.68,$5.21,9.54
2019-05-31,51.37,$5.30,9.69
2019-02-28,60.92,$5.25,11.6
2018-11-30,63.42,$6.07,10.45
2018-08-31,60.75,$5.79,10.49
2018-05-31,64.82,$5.57,11.64
2018-02-28,61.35,$5.27,11.64
2017-11-30,62.79,$4.14,15.17
2017-08-31,47.73,$4.04,11.81
2017-05-31,57.81,$3.99,14.49
2017-02-28,68.93,$3.95,17.45
2016-11-30,60.92,$3.82,15.95
2016-08-31,49.54,$3.76,13.17
2016-05-31,50.53,$3.70,13.66
2016-02-29,46.65,$3.68,12.68
2015-11-30,41.07,$3.71,11.07
2015-08-31,44.75,$3.73,12.0
2015-05-31,45.6,$3.78,12.06
2015-02-28,47.71,$3.78,12.62
2014-11-30,50.5,$3.74,13.5
2014-08-31,56.24,$3.76,14.96
2014-05-31,57.18,$3.64,15.71
2014-02-28,53.47,$3.59,14.89
2013-11-30,47.42,$3.68,12.88
2013-08-31,46.69,$3.75,12.45
2013-05-31,50.59,$3.95,12.81
2013-02-28,52.02,$4.07,12.78
2012-11-30,44.11,$4.14,10.66
2012-08-31,41.9,$4.09,10.24
2012-05-31,43.18,$3.93,10.99
2012-02-29,47.68,$3.80,12.55
2011-11-30,41.6,$3.63,11.46
2011-08-31,36.76,$3.43,10.72
2011-05-31,41.3,$3.20,12.91
2011-02-28,37.43,$2.92,12.82
2010-11-30,35.5,$2.62,13.55
2010-08-31,25.85,$2.37,10.91
2010-05-31,29.88,$2.08,14.36
2010-02-28,26.22,$1.83,14.33
2009-11-30,26.3,$1.77,14.86
