Grupo Aval Acciones Y Valores S.A PE Ratio Historical Data,Grupo Aval Acciones Y Valores S.A PE Ratio Historical Data,Grupo Aval Acciones Y Valores S.A PE Ratio Historical Data,Grupo Aval Acciones Y Valores S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.77,,17.31
2024-09-30,2.01,$0.16,12.57
2024-06-30,2.12,$0.10,21.21
2023-12-31,2.31,$0.14,16.51
2023-09-30,2.25,$0.06,37.46
2023-06-30,2.11,$0.13,16.23
2023-03-31,2.07,$0.25,8.28
2022-12-31,2.24,$0.64,3.5
2022-09-30,2.18,$0.88,2.47
2022-06-30,3.14,$0.98,3.2
2022-03-31,3.78,$1.06,3.57
2021-12-31,4.21,$0.80,5.26
2021-09-30,4.7,$0.78,6.03
2021-06-30,4.58,$0.79,5.8
2021-03-31,4.92,$0.64,7.68
2020-12-31,5.39,$0.61,8.84
2020-09-30,3.56,$0.64,5.56
2020-06-30,3.31,$0.65,5.09
2020-03-31,3.25,$0.80,4.06
2019-12-31,6.42,$0.62,10.36
2019-09-30,5.43,$0.66,8.23
2019-06-30,5.76,$0.67,8.6
2019-03-31,5.63,$0.68,8.28
2018-12-31,4.26,$0.87,4.9
2018-09-30,5.61,$0.78,7.19
2018-06-30,5.93,$0.69,8.6
2018-03-31,5.87,$0.59,9.95
2017-12-31,5.96,$0.58,10.27
2017-09-30,6.21,$0.58,10.71
2017-06-30,5.67,$0.65,8.73
2017-03-31,5.53,$0.69,8.01
2016-12-31,5.33,$0.64,8.32
2016-09-30,5.83,$0.70,8.33
2016-06-30,5.27,$0.63,8.37
2016-03-31,4.98,$0.65,7.66
2015-12-31,4.16,$0.70,5.94
2015-09-30,4.81,$0.69,6.96
2015-06-30,6.09,$0.79,7.71
