"Boise Cascade, L.L.C PE Ratio Historical Data","Boise Cascade, L.L.C PE Ratio Historical Data","Boise Cascade, L.L.C PE Ratio Historical Data","Boise Cascade, L.L.C PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,100.43,,10.51
2024-12-31,118.86,$9.56,12.43
2024-09-30,140.78,$10.22,13.77
2024-06-30,114.28,$11.47,9.96
2024-03-31,147.02,$12.30,11.95
2023-12-31,123.8,$12.12,10.21
2023-09-30,94.14,$12.63,7.45
2023-06-30,82.39,$14.57,5.65
2023-03-31,55.26,$16.39,3.37
2022-12-31,59.86,$21.57,2.78
2022-09-30,51.04,$22.88,2.23
2022-06-30,50.97,$19.67,2.59
2022-03-31,57.57,$21.80,2.64
2021-12-31,58.91,$17.95,3.28
2021-09-30,42.61,$14.35,2.97
2021-06-30,44.33,$14.65,3.03
2021-03-31,45.39,$7.88,5.76
2020-12-31,36.19,$4.43,8.17
2020-09-30,29.05,$4.14,7.02
2020-06-30,27.31,$2.22,12.3
2020-03-31,17.22,$2.08,8.28
2019-12-31,26.38,$2.06,12.81
2019-09-30,22.87,$-0.16,0.0
2019-06-30,19.67,$-0.50,0.0
2019-03-31,18.65,$-0.15,0.0
2018-12-31,16.57,$0.50,33.14
2018-09-30,25.48,$2.84,8.97
2018-06-30,30.21,$3.30,9.16
2018-03-31,26.05,$2.81,9.27
2017-12-31,26.88,$2.13,12.62
2017-09-30,23.47,$1.75,13.41
2017-06-30,20.44,$1.20,17.04
2017-03-31,17.95,$1.12,16.03
2016-12-31,15.13,$0.99,15.28
2016-09-30,17.08,$0.94,18.17
2016-06-30,15.43,$1.24,12.45
2016-03-31,13.93,$1.26,11.06
2015-12-31,17.17,$1.32,13.01
2015-09-30,16.96,$1.66,10.22
2015-06-30,24.67,$1.92,12.85
2015-03-31,25.19,$2.08,12.11
2014-12-31,24.98,$2.03,12.31
2014-09-30,20.27,$1.88,10.78
2014-06-30,19.26,$1.45,13.28
2014-03-31,19.26,$1.02,18.88
2013-12-31,19.82,$3.03,6.54
