Postal Realty Trust PE Ratio Historical Data,Postal Realty Trust PE Ratio Historical Data,Postal Realty Trust PE Ratio Historical Data,Postal Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.11,,67.19
2024-12-31,13.05,$0.21,62.14
2024-09-30,14.64,$0.08,183.0
2024-06-30,13.33,$0.09,148.11
2024-03-31,14.32,$0.10,143.2
2023-12-31,14.56,$0.11,132.36
2023-09-30,13.5,$0.13,103.85
2023-06-30,14.71,$0.13,113.15
2023-03-31,15.22,$0.14,108.71
2022-12-31,14.53,$0.16,90.81
2022-09-30,14.67,$0.14,104.79
2022-06-30,14.69,$0.13,113.01
2022-03-31,16.34,$0.13,125.67
2021-12-31,18.98,$0.11,172.55
2021-09-30,17.66,$0.11,160.58
2021-06-30,17.09,$0.07,244.2
2021-03-31,15.93,$-0.02,0.0
2020-12-31,15.45,$-0.16,0.0
2020-09-30,13.67,$-0.36,0.0
2020-06-30,14.2,$-0.41,0.0
2020-03-31,13.92,$-0.44,0.0
