Bank Of Hawaii PE Ratio Historical Data,Bank Of Hawaii PE Ratio Historical Data,Bank Of Hawaii PE Ratio Historical Data,Bank Of Hawaii PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,68.26,,19.73
2024-12-31,71.24,$3.46,20.59
2024-09-30,61.63,$3.33,18.51
2024-06-30,55.58,$3.57,15.57
2024-03-31,60.61,$3.88,15.62
2023-12-31,69.56,$4.15,16.76
2023-09-30,47.13,$4.93,9.56
2023-06-30,38.6,$5.04,7.66
2023-03-31,47.93,$5.30,9.04
2022-12-31,70.71,$5.48,12.9
2022-09-30,68.79,$5.53,12.44
2022-06-30,66.64,$5.77,11.55
2022-03-31,74.51,$6.07,12.27
2021-12-31,73.77,$6.25,11.8
2021-09-30,71.75,$5.76,12.46
2021-06-30,72.93,$5.19,14.05
2021-03-31,76.91,$4.49,17.13
2020-12-31,65.36,$3.86,16.93
2020-09-30,42.73,$4.25,10.05
2020-06-30,51.33,$4.59,11.18
2020-03-31,45.7,$5.01,9.12
2019-12-31,78.05,$5.57,14.01
2019-09-30,69.96,$5.42,12.91
2019-06-30,66.97,$5.49,12.2
2019-03-31,63.17,$5.39,11.72
2018-12-31,53.52,$5.24,10.21
2018-09-30,62.73,$4.95,12.67
2018-06-30,65.84,$4.67,14.1
2018-03-31,65.13,$4.42,14.74
2017-12-31,66.75,$4.34,15.38
2017-09-30,64.54,$4.35,14.84
2017-06-30,63.81,$4.29,14.87
2017-03-31,62.94,$4.27,14.74
2016-12-31,67.38,$4.23,15.93
2016-09-30,54.86,$4.20,13.06
2016-06-30,51.62,$3.97,13.0
2016-03-31,50.88,$3.89,13.08
2015-12-31,46.54,$3.70,12.58
2015-09-30,46.67,$3.65,12.79
2015-06-30,48.67,$3.81,12.77
2015-03-31,44.35,$3.80,11.67
2014-12-31,42.66,$3.70,11.53
2014-09-30,40.55,$3.64,11.14
2014-06-30,41.57,$3.54,11.74
2014-03-31,42.59,$3.45,12.34
2013-12-31,41.23,$3.39,12.16
2013-09-30,37.67,$3.41,11.05
2013-06-30,34.52,$3.48,9.92
2013-03-31,34.55,$3.53,9.79
2012-12-31,29.68,$3.67,8.09
2012-09-30,30.42,$3.62,8.4
2012-06-30,30.35,$3.62,8.38
2012-03-31,31.63,$3.46,9.14
2011-12-31,28.83,$3.39,8.5
2011-09-30,23.32,$3.38,6.9
2011-06-30,29.48,$3.37,8.75
2011-03-31,30.01,$3.59,8.36
2010-12-31,29.35,$3.80,7.72
2010-09-30,27.64,$3.80,7.27
2010-06-30,29.46,$3.65,8.07
2010-03-31,27.14,$3.34,8.12
2009-12-31,28.12,$3.00,9.37
