SIFCO Industries PE Ratio Historical Data,SIFCO Industries PE Ratio Historical Data,SIFCO Industries PE Ratio Historical Data,SIFCO Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.8,,0.0
2024-12-31,3.55,$-0.71,0.0
2024-09-30,4.65,$-0.90,0.0
2024-06-30,3.1,$-1.35,0.0
2024-03-31,3.18,$-1.47,0.0
2023-12-31,4.54,$-1.61,0.0
2023-09-30,3.67,$-1.48,0.0
2023-06-30,2.46,$-2.13,0.0
2023-03-31,3.01,$-2.48,0.0
2022-12-31,2.16,$-1.47,0.0
2022-09-30,3.07,$-1.67,0.0
2022-06-30,3.1,$-0.92,0.0
2022-03-31,4.96,$-0.42,0.0
2021-12-31,6.5,$-1.29,0.0
2021-09-30,8.6,$-0.14,0.0
2021-06-30,10.07,$1.15,8.76
2021-03-31,12.54,$1.50,8.36
2020-12-31,8.4,$2.33,3.61
2020-09-30,3.68,$1.58,2.33
2020-06-30,4.0,$1.15,3.48
2020-03-31,2.25,$-0.56,0.0
2019-12-31,3.95,$-1.36,0.0
2019-09-30,2.71,$-1.35,0.0
2019-06-30,2.89,$-2.27,0.0
2019-03-31,2.76,$-1.23,0.0
2018-12-31,3.45,$-1.37,0.0
2018-09-30,5.05,$-1.31,0.0
2018-06-30,5.42,$-1.50,0.0
2018-03-31,5.52,$-2.35,0.0
2017-12-31,6.65,$-2.28,0.0
2017-09-30,5.7,$-2.59,0.0
2017-06-30,6.65,$-3.25,0.0
2017-03-31,8.1,$-2.31,0.0
2016-12-31,7.65,$-2.06,0.0
2016-09-30,9.91,$-2.06,0.0
2016-06-30,10.0,$-0.79,0.0
2016-03-31,9.29,$-0.79,0.0
2015-12-31,9.5,$-0.75,0.0
2015-09-30,11.29,$-0.53,0.0
2015-06-30,14.9,$-0.33,0.0
2015-03-31,21.79,$0.22,99.05
2014-12-31,29.15,$0.49,59.49
2014-09-30,29.92,$0.92,32.52
2014-06-30,31.01,$1.33,23.32
2014-03-31,30.34,$1.43,21.22
2013-12-31,27.9,$1.44,19.37
2013-09-30,18.13,$1.90,9.54
2013-06-30,15.94,$1.58,10.09
2013-03-31,18.14,$1.58,11.48
2012-12-31,15.52,$1.63,9.52
2012-09-30,17.72,$1.22,14.52
2012-06-30,22.37,$1.41,15.87
2012-03-31,18.23,$1.34,13.6
2011-12-31,19.38,$1.40,13.85
2011-09-30,17.67,$1.41,12.54
2011-06-30,15.76,$1.26,12.51
2011-03-31,17.01,$1.05,16.2
2010-12-31,15.72,$0.86,18.28
2010-09-30,11.31,$1.01,11.2
2010-06-30,10.44,$1.05,9.94
2010-03-31,16.27,$1.32,12.33
2009-12-31,13.73,$1.58,8.69
