AAON PE Ratio Historical Data,AAON PE Ratio Historical Data,AAON PE Ratio Historical Data,AAON PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,79.42,,39.51
2024-12-31,117.68,$2.01,58.55
2024-09-30,107.78,$2.27,47.48
2024-06-30,87.11,$2.22,39.24
2024-03-31,87.87,$2.15,40.93
2023-12-31,73.61,$2.13,34.5
2023-09-30,56.59,$2.05,27.65
2023-06-30,62.82,$1.81,34.77
2023-03-31,63.99,$1.46,43.83
2022-12-31,49.78,$1.23,40.36
2022-09-30,35.5,$0.83,42.6
2022-06-30,36.08,$0.69,52.55
2022-03-31,36.59,$0.74,49.46
2021-12-31,52.16,$0.72,72.45
2021-09-30,42.8,$0.88,48.64
2021-06-30,41.0,$0.94,43.62
2021-03-31,45.72,$0.91,50.07
2020-12-31,43.52,$0.99,44.11
2020-09-30,39.24,$0.97,40.31
2020-06-30,35.36,$0.89,39.58
2020-03-31,31.36,$0.83,37.63
2019-12-31,32.07,$0.70,45.81
2019-09-30,29.72,$0.64,46.43
2019-06-30,32.46,$0.65,50.19
2019-03-31,29.77,$0.63,47.5
2018-12-31,22.6,$0.54,41.85
2018-09-30,24.26,$0.58,41.84
2018-06-30,21.34,$0.59,36.38
2018-03-31,24.91,$0.61,40.62
2017-12-31,23.44,$0.69,34.14
2017-09-30,21.95,$0.63,35.02
2017-06-30,23.46,$0.63,37.04
2017-03-31,22.42,$0.64,35.03
2016-12-31,20.96,$0.65,32.42
2016-09-30,18.21,$0.67,27.31
2016-06-30,17.38,$0.63,27.44
2016-03-31,17.62,$0.59,30.04
2015-12-31,14.61,$0.55,26.41
2015-09-30,12.14,$0.52,23.35
2015-06-30,14.11,$0.51,27.84
2015-03-31,15.3,$0.51,30.19
2014-12-31,13.96,$0.52,26.73
2014-09-30,10.56,$0.49,21.6
2014-06-30,13.88,$0.47,29.74
2014-03-31,11.49,$0.48,23.94
2013-12-31,13.17,$0.45,29.26
2013-09-30,10.92,$0.45,24.32
2013-06-30,9.06,$0.40,22.91
2013-03-31,7.54,$0.36,20.85
2012-12-31,5.7,$0.33,17.33
2012-09-30,5.32,$0.25,21.37
2012-06-30,5.09,$0.25,20.7
2012-03-31,5.42,$0.18,30.5
2011-12-31,5.5,$0.17,32.76
2011-09-30,4.2,$0.23,18.67
2011-06-30,5.83,$0.22,26.71
2011-03-31,5.82,$0.24,24.15
2010-12-31,4.99,$0.26,19.43
2010-09-30,4.13,$0.26,15.96
2010-06-30,4.09,$0.29,14.29
2010-03-31,3.94,$0.30,13.13
2009-12-31,3.4,$0.32,10.68
