Belden Inc PE Ratio Historical Data,Belden Inc PE Ratio Historical Data,Belden Inc PE Ratio Historical Data,Belden Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,102.78,,21.37
2024-12-31,112.61,$4.81,23.41
2024-09-30,117.08,$4.30,27.23
2024-06-30,93.72,$4.70,19.94
2024-03-31,92.48,$5.11,18.1
2023-12-31,77.1,$5.66,13.62
2023-09-30,96.29,$6.17,15.61
2023-06-30,95.35,$6.70,14.23
2023-03-31,86.45,$6.41,13.49
2022-12-31,71.59,$5.75,12.45
2022-09-30,59.72,$3.22,18.55
2022-06-30,52.97,$1.90,27.88
2022-03-31,55.03,$1.56,35.28
2021-12-31,65.24,$1.41,46.27
2021-09-30,57.77,$2.67,21.64
2021-06-30,50.1,$2.14,23.41
2021-03-31,43.92,$-0.35,0.0
2020-12-31,41.43,$-1.24,0.0
2020-09-30,30.73,$-4.63,0.0
2020-06-30,32.1,$-11.71,0.0
2020-03-31,35.52,$-9.35,0.0
2019-12-31,54.07,$-8.68,0.0
2019-09-30,52.4,$-4.57,0.0
2019-06-30,58.46,$3.93,14.88
2019-03-31,52.66,$3.58,14.71
2018-12-31,40.92,$3.01,13.6
2018-09-30,69.88,$2.65,26.37
2018-06-30,59.77,$0.67,89.21
2018-03-31,67.36,$0.82,82.15
2017-12-31,75.35,$1.37,55.0
2017-09-30,78.59,$1.45,54.2
2017-06-30,73.56,$2.31,31.85
2017-03-31,67.43,$2.65,25.45
2016-12-31,72.82,$2.64,27.58
2016-09-30,67.15,$3.22,20.85
2016-06-30,58.71,$2.88,20.39
2016-03-31,59.64,$2.40,24.85
2015-12-31,46.29,$1.55,29.87
2015-09-30,45.28,$0.74,61.19
2015-06-30,78.7,$1.17,67.27
2015-03-31,90.6,$0.67,135.22
2014-12-31,76.27,$1.69,45.13
2014-09-30,61.92,$1.84,33.65
2014-06-30,75.54,$1.72,43.92
2014-03-31,67.22,$2.38,28.25
2013-12-31,68.0,$2.31,29.44
2013-09-30,61.77,$5.50,11.23
2013-06-30,48.12,$3.98,12.09
2013-03-31,49.73,$4.24,11.73
2012-12-31,43.27,$4.27,10.13
2012-09-30,35.43,$1.13,31.35
2012-06-30,32.0,$2.65,12.07
2012-03-31,36.31,$2.45,14.82
2011-12-31,31.84,$2.38,13.38
2011-09-30,24.64,$2.99,8.24
2011-06-30,33.25,$2.77,12.0
2011-03-31,35.76,$2.46,14.54
2010-12-31,35.02,$2.26,15.49
2010-09-30,25.05,$1.51,16.59
2010-06-30,20.85,$0.92,22.67
2010-03-31,25.98,$0.40,64.95
2009-12-31,20.69,$-0.55,0.0
