BM Technologies PE Ratio Historical Data,BM Technologies PE Ratio Historical Data,BM Technologies PE Ratio Historical Data,BM Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,4.8,,0.0
2024-09-30,3.4,$-1.11,0.0
2024-06-30,2.25,$-1.03,0.0
2024-03-31,1.65,$-1.01,0.0
2023-12-31,2.05,$-1.50,0.0
2023-09-30,2.0,$-1.51,0.0
2023-06-30,2.98,$-1.58,0.0
2023-03-31,3.52,$-0.84,0.0
2022-12-31,5.21,$-0.09,0.0
2022-09-30,6.69,$0.16,41.81
2022-06-30,5.89,$1.31,4.5
2022-03-31,8.55,$0.81,10.56
2021-12-31,9.21,$0.74,12.45
2021-09-30,8.9,$0.84,10.6
2021-06-30,12.44,$0.10,124.4
2021-03-31,11.65,$0.25,46.6
2020-12-31,14.04,0,0.0
2020-09-30,10.32,0,0.0
2020-06-30,10.95,0,0.0
2020-03-31,10.29,$0.05,205.8
2019-12-31,10.26,$0.05,205.2
2019-09-30,10.16,$0.05,203.2
2019-06-30,10.04,$0.10,100.4
