Petros Pharmaceuticals PE Ratio Historical Data,Petros Pharmaceuticals PE Ratio Historical Data,Petros Pharmaceuticals PE Ratio Historical Data,Petros Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.08,,0.0
2024-09-30,0.36,$-4.76,0.0
2024-06-30,0.46,$-6.54,0.0
2024-03-31,1.48,$-7.37,0.0
2023-12-31,1.41,$-6.34,0.0
2023-09-30,1.73,$-4.17,0.0
2023-06-30,2.03,$-8.56,0.0
2023-03-31,1.4,$-8.26,0.0
2022-12-31,2.33,$-7.70,0.0
2022-09-30,5.1,$-15.20,0.0
2022-06-30,8.4,$-10.20,0.0
2022-03-31,15.6,$-11.50,0.0
2021-12-31,33.3,$-8.30,0.0
2021-09-30,20.0,$-0.80,0.0
2021-06-30,31.3,$0.90,34.78
2021-03-31,37.3,$-3.40,0.0
2020-12-31,44.0,$-13.50,0.0
2020-09-30,11.1,$-23.50,0.0
2020-06-30,11.6,$-38.00,0.0
2020-03-31,8.2,$-47.00,0.0
2019-12-31,9.82,$-58.00,0.0
2019-09-30,8.1,$-71.50,0.0
2019-06-30,80.2,$-77.00,0.0
2019-03-31,54.5,$-75.00,0.0
2018-12-31,35.7,$-69.50,0.0
2018-09-30,88.1,$-46.00,0.0
2018-06-30,96.8,$-26.00,0.0
2018-03-31,81.4,$-52.00,0.0
2017-12-31,70.4,$-61.00,0.0
