Medtronic PE Ratio Historical Data,Medtronic PE Ratio Historical Data,Medtronic PE Ratio Historical Data,Medtronic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,91.22,,27.73
2025-01-31,90.82,$3.29,27.6
2024-10-31,89.25,$3.27,27.29
2024-07-31,79.7,$2.96,26.92
2024-04-30,78.91,$2.75,28.7
2024-01-31,85.39,$3.14,27.19
2023-10-31,68.25,$3.07,22.23
2023-07-31,84.17,$2.71,31.06
2023-04-30,86.54,$2.82,30.69
2023-01-31,78.94,$3.04,25.97
2022-10-31,81.66,$3.22,25.36
2022-07-31,85.81,$3.87,22.17
2022-04-30,96.05,$3.73,25.75
2022-01-31,94.69,$3.63,26.09
2021-10-31,108.99,$3.47,31.41
2021-07-31,118.83,$2.86,41.55
2021-04-30,117.88,$2.66,44.32
2021-01-31,99.75,$2.14,46.61
2020-10-31,89.65,$2.62,34.22
2020-07-31,85.52,$3.27,26.15
2020-04-30,85.98,$3.55,24.22
2020-01-31,101.07,$3.94,25.65
2019-10-31,94.88,$3.46,27.42
2019-07-31,88.38,$3.27,27.03
2019-04-30,76.57,$3.42,22.39
2019-01-31,75.8,$3.62,20.94
2018-10-31,76.6,$1.65,46.42
2018-07-31,76.56,$2.31,33.14
2018-04-30,67.59,$2.26,29.91
2018-01-31,72.45,$2.03,35.69
2017-10-31,67.92,$3.65,18.61
2017-07-31,70.41,$2.97,23.71
2017-04-30,69.32,$2.89,23.99
2017-01-31,63.09,$2.83,22.29
2016-10-31,67.66,$3.01,22.48
2016-07-31,71.93,$2.57,27.99
2016-04-30,64.65,$2.48,26.07
2016-01-31,61.7,$1.70,36.29
2015-10-31,59.78,$1.91,31.3
2015-07-31,63.05,$2.38,26.49
2015-04-30,59.58,$2.68,22.23
2015-01-31,56.91,$3.12,18.24
2014-10-31,54.1,$2.89,18.72
2014-07-31,48.77,$2.95,16.53
2014-04-30,46.24,$3.01,15.36
2014-01-31,44.27,$3.52,12.58
2013-10-31,44.7,$3.74,11.95
2013-07-31,42.8,$3.48,12.3
2013-04-30,35.97,$3.38,10.64
2013-01-31,35.71,$3.37,10.6
2012-10-31,31.67,$3.28,9.66
2012-07-31,29.85,$3.47,8.6
2012-04-30,28.73,$3.41,8.43
2012-01-31,28.83,$3.19,9.04
2011-10-31,25.81,$3.17,8.14
2011-07-31,26.58,$2.87,9.26
2011-04-30,30.59,$2.86,10.69
2011-01-31,27.91,$3.00,9.3
2010-10-31,25.51,$2.89,8.83
2010-07-31,26.59,$3.15,8.44
2010-04-30,31.23,$2.79,11.19
2010-01-31,30.52,$2.15,14.2
2009-10-31,25.29,$2.05,12.34
