CKX Lands PE Ratio Historical Data,CKX Lands PE Ratio Historical Data,CKX Lands PE Ratio Historical Data,CKX Lands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.67,,53.05
2024-09-30,13.92,$0.22,63.27
2024-06-30,13.5,$0.21,64.29
2024-03-31,13.2,$-0.01,0.0
2023-12-31,12.96,$0.07,185.2
2023-09-30,13.12,$-0.56,0.0
2023-06-30,9.99,$-0.61,0.0
2023-03-31,9.43,$-0.80,0.0
2022-12-31,9.95,$-0.68,0.0
2022-09-30,10.93,$-0.15,0.0
2022-06-30,11.13,$-0.02,0.0
2022-03-31,10.91,$0.21,51.95
2021-12-31,11.2,$0.43,26.05
2021-09-30,11.28,$0.42,26.86
2021-06-30,12.44,$0.35,35.54
2021-03-31,12.95,$0.37,35.0
2020-12-31,9.51,$0.18,52.86
2020-09-30,10.0,$0.20,50.0
2020-06-30,8.14,$0.20,40.7
2020-03-31,8.5,$0.10,85.0
2019-12-31,9.32,$0.12,77.65
2019-09-30,10.27,$0.11,93.36
2019-06-30,9.75,$0.12,81.25
2019-03-31,10.01,$0.19,52.68
2018-12-31,10.31,$0.57,18.09
2018-09-30,10.1,$0.66,15.3
2018-06-30,10.73,$0.65,16.51
2018-03-31,10.23,$0.68,15.04
2017-12-31,10.06,$0.27,37.25
2017-09-30,10.47,$0.19,55.12
2017-06-30,11.36,$0.17,66.83
2017-03-31,11.76,$0.06,195.95
2016-12-31,10.83,$0.09,120.31
2016-09-30,10.78,$0.08,134.74
2016-06-30,11.11,$0.14,79.37
2016-03-31,10.29,$0.24,42.87
2015-12-31,9.74,$0.24,40.59
2015-09-30,10.54,$0.33,31.95
2015-06-30,14.24,$0.54,26.37
2015-03-31,14.53,$0.54,26.91
2014-12-31,15.85,$0.66,24.01
2014-09-30,15.93,$0.66,24.13
2014-06-30,16.15,$0.53,30.48
2014-03-31,14.56,$0.54,26.96
2013-12-31,14.34,$0.50,28.68
2013-09-30,14.18,$0.83,17.08
2013-06-30,14.66,$0.86,17.04
2013-03-31,13.31,$0.97,13.72
2012-12-31,12.92,$1.16,11.14
2012-09-30,12.97,$0.88,14.73
2012-06-30,13.3,$0.88,15.11
2012-03-31,11.87,$0.74,16.04
2011-12-31,10.44,$0.49,21.31
2011-09-30,11.46,$0.50,22.93
2011-06-30,11.58,$0.39,29.7
2011-03-31,11.74,$0.45,26.1
2010-12-31,10.84,$0.48,22.58
2010-09-30,9.64,$0.41,23.52
2010-06-30,10.48,$0.46,22.78
2010-03-31,11.08,$0.39,28.42
2009-12-31,10.36,$0.44,23.55
