Electro-Sensors PE Ratio Historical Data,Electro-Sensors PE Ratio Historical Data,Electro-Sensors PE Ratio Historical Data,Electro-Sensors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.53,,64.71
2024-12-31,5.17,$0.07,73.83
2024-09-30,4.0,$0.13,30.77
2024-06-30,3.95,$0.06,65.83
2024-03-31,4.17,$0.09,46.33
2023-12-31,3.8,$0.08,47.5
2023-09-30,3.91,$0.10,39.09
2023-06-30,4.44,$0.14,31.71
2023-03-31,4.67,$0.03,155.67
2022-12-31,4.52,$0.04,113.0
2022-09-30,5.06,$0.01,506.0
2022-06-30,6.04,$-0.02,0.0
2022-03-31,5.12,$0.12,42.68
2021-12-31,6.28,$0.12,52.37
2021-09-30,5.03,$0.07,71.86
2021-06-30,4.89,$0.05,97.8
2021-03-31,4.8,0,0.0
2020-12-31,4.81,$-0.03,0.0
2020-09-30,3.46,0,0.0
2020-06-30,3.48,$0.02,174.0
2020-03-31,2.98,$0.04,74.5
2019-12-31,3.63,$0.06,60.5
2019-09-30,3.85,$0.05,76.9
2019-06-30,3.32,$0.10,33.2
2019-03-31,3.43,$0.06,57.17
2018-12-31,3.4,$0.01,340.0
2018-09-30,3.7,$-0.01,0.0
2018-06-30,4.03,$-0.03,0.0
2018-03-31,4.12,$0.04,103.0
2017-12-31,4.05,$0.08,50.63
2017-09-30,3.52,$0.12,29.33
2017-06-30,3.61,$0.09,40.11
2017-03-31,3.98,$0.07,56.86
2016-12-31,3.46,$0.06,57.67
2016-09-30,3.51,$0.01,350.56
2016-06-30,3.16,$0.05,63.2
2016-03-31,3.42,$0.15,22.82
2015-12-31,3.58,$0.33,10.85
2015-09-30,3.7,$0.39,9.49
2015-06-30,4.1,$0.43,9.53
2015-03-31,4.0,$0.34,11.78
2014-12-31,3.91,$0.30,13.04
2014-09-30,3.74,$0.30,12.47
2014-06-30,4.25,$0.23,18.48
2014-03-31,3.96,$0.25,15.84
2013-12-31,4.01,$0.18,22.28
2013-09-30,4.07,$0.33,12.33
2013-06-30,4.12,$0.35,11.77
2013-03-31,4.22,$0.33,12.79
2012-12-31,3.7,$0.31,11.93
2012-09-30,3.98,$0.11,36.14
2012-06-30,3.92,$0.10,39.25
2012-03-31,3.82,$0.08,47.76
2011-12-31,3.7,$0.09,41.14
2011-09-30,3.32,$0.14,23.74
2011-06-30,4.21,$0.15,28.06
2011-03-31,4.08,$0.16,25.5
2010-12-31,4.06,$0.15,27.09
2010-09-30,3.61,$0.16,22.56
2010-06-30,3.52,$0.17,20.71
2010-03-31,3.35,$0.13,25.79
2009-12-31,3.25,$0.10,32.48
