Hovnanian Enterprises Inc PE Ratio Historical Data,Hovnanian Enterprises Inc PE Ratio Historical Data,Hovnanian Enterprises Inc PE Ratio Historical Data,Hovnanian Enterprises Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,111.25,,3.39
2025-01-31,132.39,$32.78,4.04
2024-10-31,176.04,$32.11,5.48
2024-07-31,209.89,$32.37,6.48
2024-04-30,147.83,$30.00,4.93
2024-01-31,168.97,$27.81,6.08
2023-10-31,69.48,$27.16,2.56
2023-07-31,106.62,$21.35,4.99
2023-04-30,73.77,$24.79,2.98
2023-01-31,57.88,$28.71,2.02
2022-10-31,40.33,$29.52,1.37
2022-07-31,48.51,$29.69,1.63
2022-04-30,46.02,$25.59,1.8
2022-01-31,96.88,$86.85,1.12
2021-10-31,84.26,$86.53,0.97
2021-07-31,104.39,$84.66,1.23
2021-04-30,132.59,$80.10,1.66
2021-01-31,51.16,$11.05,4.63
2020-10-31,31.76,$6.81,4.66
2020-07-31,23.3,$0.97,24.02
2020-04-30,12.62,$-2.46,0.0
2020-01-31,25.56,$-5.62,0.0
2019-10-31,25.08,$-7.13,0.0
2019-07-31,6.0,$0.42,14.29
2019-04-30,15.22,$1.44,10.57
2019-01-31,17.65,$2.25,7.85
2018-10-31,36.5,0,0.0
2018-07-31,39.25,$-5.25,0.0
2018-04-30,50.25,$-62.00,0.0
2018-01-31,50.75,$-61.50,0.0
2017-10-31,60.5,$-56.25,0.0
2017-07-31,55.0,$-54.75,0.0
2017-04-30,58.5,$2.25,26.0
2017-01-31,59.25,$2.00,29.63
2016-10-31,39.0,$-0.75,0.0
2016-07-31,46.0,$-0.25,0.0
2016-04-30,41.75,$-1.50,0.0
2016-01-31,38.5,$-3.25,0.0
2015-10-31,51.5,$-3.00,0.0
2015-07-31,50.5,$41.75,1.21
2015-04-30,78.0,$45.75,1.7
2015-01-31,86.0,$47.75,1.8
2014-10-31,94.0,$46.00,2.04
2014-07-31,100.0,$2.50,40.0
2014-04-30,111.5,$1.25,89.2
2014-01-31,150.75,$2.75,54.82
2013-10-31,126.5,$5.00,25.3
2013-07-31,133.75,$-15.00,0.0
2013-04-30,136.25,$-10.25,0.0
2013-01-31,142.75,$-10.00,0.0
2012-10-31,107.5,$-12.25,0.0
2012-07-31,58.0,$-20.00,0.0
2012-04-30,50.0,$-38.00,0.0
2012-01-31,60.5,$-55.75,0.0
2011-10-31,36.0,$-72.00,0.0
2011-07-31,48.0,$-91.50,0.0
2011-04-30,80.25,$-102.75,0.0
2011-01-31,110.5,$-94.50,0.0
2010-10-31,89.0,$0.25,356.0
2010-07-31,109.25,$-38.00,0.0
2010-04-30,177.75,$-69.00,0.0
2010-01-31,91.0,$-97.50,0.0
2009-10-31,97.75,$-229.00,0.0
