Patriot National Bancorp PE Ratio Historical Data,Patriot National Bancorp PE Ratio Historical Data,Patriot National Bancorp PE Ratio Historical Data,Patriot National Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.06,,0.0
2024-09-30,1.9,$-7.40,0.0
2024-06-30,1.87,$-1.57,0.0
2024-03-31,3.75,$-0.94,0.0
2023-12-31,3.83,$-0.87,0.0
2023-09-30,7.4,$-0.65,0.0
2023-06-30,7.88,$0.89,8.85
2023-03-31,8.82,$1.35,6.53
2022-12-31,10.6,$1.56,6.79
2022-09-30,11.07,$1.59,6.96
2022-06-30,12.17,$1.34,9.08
2022-03-31,16.93,$1.28,13.23
2021-12-31,15.55,$1.30,11.96
2021-09-30,10.43,$0.47,22.18
2021-06-30,9.13,$0.11,83.0
2021-03-31,10.48,$-0.47,0.0
2020-12-31,9.94,$-0.96,0.0
2020-09-30,6.92,$-0.61,0.0
2020-06-30,5.9,$-0.58,0.0
2020-03-31,6.62,$-0.68,0.0
2019-12-31,12.76,$-0.33,0.0
2019-09-30,12.75,$-0.29,0.0
2019-06-30,15.38,$-0.10,0.0
2019-03-31,15.49,$0.58,26.7
2018-12-31,14.21,$0.77,18.45
2018-09-30,22.42,$0.88,25.48
2018-06-30,19.99,$0.94,21.27
2018-03-31,19.31,$0.89,21.7
2017-12-31,17.76,$1.06,16.76
2017-09-30,16.77,$1.18,14.21
2017-06-30,16.35,$1.13,14.47
2017-03-31,14.96,$1.08,13.85
2016-12-31,13.96,$0.81,17.24
2016-09-30,13.2,$0.68,19.41
2016-06-30,13.07,$0.63,20.74
2016-03-31,12.93,$0.64,20.2
2015-12-31,14.46,$0.54,26.78
2015-09-30,16.72,$0.40,41.8
2015-06-30,15.51,$4.74,3.27
2015-03-31,15.34,$4.67,3.28
2014-12-31,16.32,$4.70,3.47
2014-09-30,17.29,$4.90,3.53
2014-06-30,14.11,$-0.20,0.0
2014-03-31,12.72,$-1.30,0.0
2013-12-31,10.34,$-1.90,0.0
2013-09-30,13.71,$-2.40,0.0
2013-06-30,13.02,$-1.80,0.0
2013-03-31,15.8,$-0.70,0.0
2012-12-31,12.42,$-0.10,0.0
2012-09-30,15.9,$0.30,53.0
2012-06-30,16.0,$0.40,40.0
2012-03-31,18.39,$-1.60,0.0
2011-12-31,17.39,$-4.00,0.0
2011-09-30,17.99,$-5.30,0.0
2011-06-30,19.78,$-19.70,0.0
2011-03-31,21.86,$-20.70,0.0
2010-12-31,20.87,$-25.00,0.0
2010-09-30,19.58,$-32.60,0.0
2010-06-30,16.6,$-47.60,0.0
2010-03-31,16.5,$-54.50,0.0
2009-12-31,15.4,$-50.20,0.0
