Vertiv Holdings PE Ratio Historical Data,Vertiv Holdings PE Ratio Historical Data,Vertiv Holdings PE Ratio Historical Data,Vertiv Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,89.08,,69.59
2024-12-31,113.61,$1.28,88.76
2024-09-30,99.46,$1.50,66.31
2024-06-30,86.52,$1.28,67.59
2024-03-31,81.6,$1.04,78.46
2023-12-31,47.97,$1.18,40.66
2023-09-30,37.14,$0.65,57.13
2023-06-30,24.73,$0.47,52.61
2023-03-31,14.29,$0.30,47.62
2022-12-31,13.64,$-0.05,0.0
2022-09-30,9.7,$-0.06,0.0
2022-06-30,8.2,$0.03,273.32
2022-03-31,13.97,$0.01,0.0
2021-12-31,24.91,$0.33,75.48
2021-09-30,24.02,$0.49,49.02
2021-06-30,27.22,$0.29,93.87
2021-03-31,19.94,$0.34,58.66
2020-12-31,18.62,$-0.87,0.0
2020-09-30,17.26,$-1.13,0.0
2020-06-30,13.51,$-1.06,0.0
2020-03-31,8.62,$-1.11,0.0
2019-12-31,10.99,$0.04,274.82
2019-09-30,10.17,$0.11,92.41
2019-06-30,10.11,$0.09,112.29
